timestamps,TP9,AF7,AF8,TP10,marker
1664555624.874,-20.996,-6.836,-7.812,-66.895,0
1664555624.878,6.836,8.301,-9.277,-38.086,0
1664555624.882,5.859,-41.016,-9.766,-49.316,0
1664555624.886,-26.367,-45.410,-13.672,-92.285,0
1664555624.890,-20.020,-14.648,-13.672,-82.031,0
1664555624.894,12.695,-29.297,-10.742,-30.273,0
1664555624.898,7.324,-29.297,-12.207,-39.062,0
1664555624.901,-20.996,-75.195,-11.230,-70.312,0
1664555624.905,-32.227,-33.203,-10.742,-81.543,0
1664555624.909,2.930,30.273,-14.648,-62.500,0
1664555624.913,17.578,-22.949,-16.113,-49.316,0
1664555624.917,-12.695,-38.086,-17.578,-80.078,0
1664555624.920,-36.621,-23.438,-16.602,-104.980,0
1664555624.924,1.953,-16.113,-11.230,-61.523,0
1664555624.928,22.461,-24.902,-8.301,-34.180,0
1664555624.932,-4.395,-32.227,-8.301,-57.129,0
1664555624.936,-45.410,-17.090,-9.277,-100.098,0
1664555624.940,-17.578,-22.461,-12.207,-60.547,0
1664555624.944,13.184,-59.570,-14.160,-18.555,0
1664555624.947,2.930,-62.988,-13.184,-41.504,0
1664555624.951,-41.504,12.207,-17.578,-102.051,0
1664555624.955,-38.086,0.977,-20.508,-89.355,0
1664555624.959,-3.418,-32.227,-14.160,-33.691,0
1664555624.963,-3.418,-13.672,-13.672,-39.062,0
1664555624.964,-37.598,-10.742,-17.090,-82.520,0
1664555624.968,-54.199,-23.438,-13.672,-89.355,0
1664555624.972,-17.090,-45.410,-10.742,-42.480,0
1664555624.976,-12.695,-44.922,-8.301,-31.250,0
1664555624.980,-44.922,-19.531,-10.254,-64.941,0
1664555624.984,-65.430,-34.180,-11.230,-87.402,0
1664555624.988,-30.273,-73.730,-10.742,-29.785,0
1664555624.991,-19.043,-27.832,-15.137,-8.301,0
1664555624.995,-45.410,26.367,-16.113,-56.152,0
1664555624.999,-70.801,-16.602,-12.695,-81.055,0
1664555625.003,-42.480,-16.602,-10.742,-45.898,0
1664555625.007,-16.602,5.371,-8.789,-21.484,0
1664555625.009,-22.461,-3.906,-7.324,-34.668,0
1664555625.013,-61.035,-28.809,-11.230,-71.777,0
1664555625.017,-58.594,-34.668,-13.672,-60.547,0
1664555625.021,-18.555,5.371,-9.766,-19.531,0
1664555625.025,-18.066,-10.254,-11.230,-23.438,0
1664555625.029,-49.805,-87.402,-10.742,-51.758,0
1664555625.033,-66.406,-87.402,-12.207,-59.570,0
1664555625.036,-29.785,1.465,-14.160,-29.785,0
1664555625.040,-8.789,14.648,-11.230,-28.320,0
1664555625.044,-28.320,-40.527,-9.277,-51.758,0
1664555625.048,-61.035,-30.762,-9.766,-83.984,0
1664555625.052,-38.574,5.859,-14.160,-59.570,0
1664555625.069,-18.555,-17.090,-17.090,-19.531,0
1664555625.073,-35.156,-37.109,-16.602,-36.621,0
1664555625.077,-76.172,-51.270,-21.484,-85.938,0
1664555625.081,-61.035,-20.020,-19.531,-76.660,0
1664555625.085,-20.020,-4.883,-18.555,-37.598,0
1664555625.089,-21.973,-47.363,-20.508,-32.715,0
1664555625.093,-68.848,-34.180,-20.996,-81.543,0
1664555625.096,-70.801,-5.859,-23.438,-83.008,0
1664555625.100,-26.855,-38.574,-20.508,-29.785,0
1664555625.104,-20.020,-56.152,-23.926,-24.902,0
1664555625.108,-52.246,-22.461,-22.949,-66.406,0
1664555625.112,-76.660,-11.719,-19.043,-90.820,0
1664555625.114,-23.926,-25.879,-13.184,-33.691,0
1664555625.118,-1.465,-25.879,-11.719,-9.766,0
1664555625.122,-38.574,-10.254,-17.578,-52.734,0
1664555625.126,-66.895,-18.555,-15.137,-80.566,0
1664555625.130,-30.762,-41.016,-13.672,-39.551,0
1664555625.134,-3.418,-52.246,-20.508,-9.277,0
1664555625.138,-20.508,-19.043,-20.508,-35.645,0
1664555625.141,-65.430,1.465,-16.113,-88.379,0
1664555625.145,-46.387,-54.688,-13.184,-56.641,0
1664555625.149,-2.930,-64.453,-10.254,-3.418,0
1664555625.153,-16.602,7.812,-12.207,-36.133,0
1664555625.157,-53.711,-0.977,-17.090,-87.402,0
1664555625.160,-57.129,-25.391,-19.043,-78.125,0
1664555625.164,-13.184,-10.254,-17.090,-29.297,0
1664555625.168,-2.441,-16.113,-17.090,-22.461,0
1664555625.172,-35.645,-31.250,-24.902,-56.641,0
1664555625.176,-66.406,-27.344,-20.996,-82.520,0
1664555625.180,-21.973,-35.156,-7.812,-26.855,0
1664555625.184,11.230,-12.695,-5.859,-0.977,0
1664555625.187,-24.902,10.254,-14.648,-63.965,0
1664555625.191,-71.289,-57.617,-23.438,-99.121,0
1664555625.195,-51.270,-13.672,-20.020,-63.477,0
1664555625.199,-23.926,56.152,-15.137,-47.852,0
1664555625.203,-31.250,-9.766,-15.137,-59.570,0
1664555625.205,-66.406,-44.434,-20.996,-98.633,0
1664555625.209,-63.477,-1.465,-24.414,-99.609,0
1664555625.213,-22.461,6.836,-20.508,-59.570,0
1664555625.217,-13.184,-30.273,-18.066,-50.781,0
1664555625.221,-49.805,-49.805,-20.508,-90.332,0
1664555625.225,-61.035,-46.387,-20.020,-102.539,0
1664555625.229,-20.508,-26.855,-21.484,-66.895,0
