type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,left,,0.8415712998248637,green,green,1627580794.2538474
concordant,none,,-1.0,red,red,1627580796.2723858
concordant,down,,0.5291490000672638,yellow,yellow,1627580798.2981632
concordant,right,,0.6664762001018971,red,red,1627580800.310511
concordant,down,,0.6781184000428766,yellow,yellow,1627580802.3241367
concordant,left,,0.3845248001161963,green,green,1627580804.3359926
concordant,down,,0.6149337999522686,yellow,yellow,1627580806.3478665
concordant,left,,0.5543831998948008,green,green,1627580808.3588812
concordant,right,,0.6802159000653774,red,red,1627580810.3720267
concordant,left,,0.503547300118953,green,green,1627580812.3835082
concordant,down,,0.4976431999821216,yellow,yellow,1627580814.395022
concordant,left,,0.5316036001313478,green,green,1627580816.4079804
concordant,right,,1.146308699855581,red,red,1627580818.4225714
concordant,left,,0.53595139994286,green,green,1627580820.4353607
concordant,right,,0.6188634000718594,red,red,1627580822.4469845
concordant,down,,0.3894618998747319,yellow,yellow,1627580824.4593198
concordant,left,,0.46607700013555586,green,green,1627580826.473778
concordant,right,,0.8086894999723881,red,red,1627580828.4874861
concordant,left,,0.5230125000234693,green,green,1627580830.5012226
concordant,right,,0.6927277001086622,red,red,1627580832.5138454
concordant,left,,0.726671600015834,green,green,1627580834.525341
concordant,down,,1.2223555999808013,yellow,yellow,1627580836.5400698
concordant,right,,0.42233369988389313,red,red,1627580838.5538592
concordant,left,,0.47636809991672635,green,green,1627580840.5658753
concordant,down,,0.391750100068748,yellow,yellow,1627580842.576397
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,left,,1.4006605001632124,green,yellow,1627580927.3508294
discordant,down,,0.9593120999634266,yellow,red,1627580929.3667133
discordant,left,,0.6730339000932872,green,yellow,1627580931.3785837
discordant,down,,0.7033335999585688,yellow,green,1627580933.3938146
discordant,right,,0.4854071999434382,red,yellow,1627580935.405393
discordant,down,,0.6122459000907838,yellow,red,1627580937.4181442
discordant,right,,0.6530530999880284,red,yellow,1627580939.4300747
discordant,down,,0.8028142999392003,yellow,red,1627580941.4412858
discordant,left,,0.6535132999997586,green,yellow,1627580943.4525707
discordant,down,,1.0293749999254942,yellow,green,1627580945.4649115
discordant,right,,0.52810849994421,red,yellow,1627580947.4763334
discordant,left,,0.8600743999704719,green,red,1627580949.4905608
discordant,down,,0.5184323000721633,yellow,green,1627580951.503175
discordant,right,,0.4152966998517513,red,yellow,1627580953.5145354
discordant,left,,0.5471317998599261,green,red,1627580955.526734
discordant,left,,0.19864000007510185,yellow,green,1627580957.5405173
discordant,right,,0.798184199957177,red,yellow,1627580959.5561793
discordant,left,,1.0856729000806808,green,red,1627580961.5679512
discordant,right,,0.9641339001245797,red,green,1627580963.5811956
discordant,left,,0.5424597000237554,green,yellow,1627580965.5941963
discordant,right,,0.8124600001610816,red,green,1627580967.6105125
discordant,down,,0.5578020999673754,yellow,red,1627580969.6222806
discordant,right,,0.6679501999169588,red,green,1627580971.634843
discordant,down,,0.681637000059709,yellow,red,1627580973.6449864
discordant,left,,0.5559847000986338,green,yellow,1627580975.6577349
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,none,,-1,red,red,1627581055.349993
concordant,down,,0.5492287999950349,yellow,yellow,1627581057.3600478
concordant,left,,0.30006629996933043,green,green,1627581059.3724525
concordant,right,,0.4098542002029717,red,red,1627581061.3845203
concordant,left,,0.5451452999841422,green,green,1627581063.395535
concordant,down,,0.3519206999335438,yellow,yellow,1627581065.4065979
concordant,left,,0.4267544001340866,green,green,1627581067.4198575
concordant,right,,0.4586197000462562,red,red,1627581069.4315245
concordant,left,,0.586079599801451,green,green,1627581071.4447796
concordant,down,,0.3251382000744343,yellow,yellow,1627581073.4569697
concordant,right,,0.323817600030452,red,red,1627581075.4707744
concordant,left,,0.32624319987371564,green,green,1627581077.4845042
concordant,right,,0.3734552999958396,red,red,1627581079.4962518
concordant,left,,0.4637565000448376,green,green,1627581081.5081892
concordant,down,,0.7289300998672843,yellow,yellow,1627581083.5212247
concordant,right,,0.8208141000941396,red,red,1627581085.5344694
concordant,left,,0.5263971001841128,green,green,1627581087.547504
concordant,right,,0.3876751000061631,red,red,1627581089.5593987
concordant,left,,0.48823719983920455,green,green,1627581091.5695927
concordant,down,,0.5276253998745233,yellow,yellow,1627581093.5852673
concordant,right,,0.3428108999505639,red,red,1627581095.5985136
concordant,left,,0.49608499999158084,green,green,1627581097.6105757
concordant,right,,0.49171889992430806,red,red,1627581099.621877
concordant,down,,0.32324060006067157,yellow,yellow,1627581101.6340857
concordant,left,,0.4890189999714494,green,green,1627581103.6466815
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,down,,0.9764982000924647,yellow,red,1627581183.289011
discordant,left,,0.574462299933657,red,green,1627581185.3007548
discordant,left,,1.095146699808538,green,red,1627581187.310803
discordant,down,,0.7593445999082178,yellow,green,1627581189.3236718
discordant,left,,0.5327842999249697,green,red,1627581191.337255
discordant,down,,0.7459466001018882,yellow,green,1627581193.3535075
discordant,left,,0.6300661999266595,green,red,1627581195.3662643
discordant,down,,0.7065223001409322,yellow,green,1627581197.3783376
discordant,none,,-1.0,red,yellow,1627581199.3906634
discordant,down,,0.6215466998983175,yellow,green,1627581201.4021366
discordant,right,,0.8466062000952661,red,yellow,1627581203.4178596
discordant,down,,0.772146999835968,yellow,green,1627581205.4288106
discordant,right,,0.7330305997747928,red,yellow,1627581207.4387712
discordant,left,,0.5948493999894708,green,red,1627581209.4497952
discordant,down,,0.49760759994387627,yellow,green,1627581211.4627223
discordant,right,,0.7651559000369161,red,yellow,1627581213.475029
discordant,down,,0.8404480000026524,yellow,red,1627581215.4863906
discordant,left,,0.7146479000803083,green,yellow,1627581217.498679
discordant,down,,0.5649733999744058,yellow,green,1627581219.5142264
discordant,right,,0.9543343000113964,red,yellow,1627581221.5292091
discordant,down,,0.6193835998419672,yellow,red,1627581223.5413783
discordant,right,,1.4215584001503885,red,green,1627581225.5530913
discordant,down,,0.6589806000702083,yellow,red,1627581227.5663114
discordant,left,,0.37639109999872744,green,yellow,1627581229.5841517
discordant,down,,0.5534882000647485,yellow,green,1627581231.5951204
