timestamps,TP9,AF7,AF8,TP10
1667501355.138,-284.180,58.105,-354.004,-108.398
1667501355.142,107.910,53.711,-395.508,-77.148
1667501355.146,272.949,50.293,-485.352,-176.758
1667501355.150,-96.191,53.223,-408.691,-205.078
1667501355.154,-299.805,58.105,-367.676,-129.883
1667501355.158,0.977,53.223,-509.766,-59.082
1667501355.162,286.133,42.969,-610.840,-135.742
1667501355.165,-2.441,53.223,-491.699,-208.008
1667501355.169,-341.309,53.223,-388.672,-163.086
1667501355.173,-145.020,40.527,-525.391,-69.336
1667501355.177,233.398,41.992,-594.238,-123.047
1667501355.181,92.285,59.082,-410.645,-227.539
1667501355.181,92.285,59.082,-410.645,-227.539
1667501355.197,-296.387,55.664,-421.387,-202.637
1667501355.201,-254.395,52.246,-439.453,-111.816
1667501355.205,156.250,56.152,-431.152,-125.977
1667501355.209,191.406,59.570,-418.457,-230.957
1667501355.213,-219.727,56.152,-399.414,-215.820
1667501355.217,-322.754,53.223,-479.004,-108.398
1667501355.221,12.695,41.504,-486.816,-100.586
1667501355.224,229.492,40.039,-428.711,-212.891
1667501355.228,-114.746,54.199,-426.758,-247.559
1667501355.232,-368.164,43.945,-500.488,-172.852
1667501355.236,-83.984,50.293,-487.793,-102.051
1667501355.240,234.863,60.059,-457.031,-176.270
1667501355.243,-12.207,57.617,-439.941,-236.328
1667501355.247,-388.184,54.688,-418.945,-207.031
1667501355.251,-249.023,59.570,-402.832,-125.977
1667501355.255,147.461,63.965,-406.250,-153.320
1667501355.259,43.945,51.758,-439.941,-239.746
1667501355.263,-388.184,41.504,-506.836,-241.211
1667501355.267,-401.367,41.504,-469.727,-164.062
1667501355.270,-2.930,47.363,-410.645,-145.996
1667501355.274,88.379,50.293,-516.602,-225.586
1667501355.278,-334.473,38.086,-739.258,-226.562
1667501355.282,-504.883,60.059,-533.691,-189.453
1667501355.286,-144.531,74.707,-334.473,-167.480
1667501355.288,117.676,66.406,-457.031,-220.703
1667501355.292,-220.703,64.941,-456.055,-297.363
1667501355.296,-526.855,68.848,-385.742,-293.945
1667501355.300,-251.465,72.754,-375.000,-196.777
1667501355.304,77.148,66.895,-447.754,-232.910
1667501355.308,-153.320,59.082,-508.789,-327.148
1667501355.312,-467.285,70.312,-430.664,-322.754
1667501355.315,-340.332,72.754,-340.332,-216.797
1667501355.319,82.520,51.270,-541.992,-178.223
1667501355.323,38.574,62.012,-520.996,-281.738
1667501355.327,-372.559,80.566,-272.949,-324.219
1667501355.331,-374.023,74.219,-293.457,-210.449
1667501355.333,63.965,70.801,-329.102,-146.973
1667501355.337,214.355,80.566,-284.180,-224.609
1667501355.341,-176.270,78.125,-278.320,-242.676
1667501355.345,-365.723,61.035,-310.059,-158.691
1667501355.349,-38.574,41.992,-338.867,-84.473
1667501355.353,249.023,39.062,-370.605,-133.301
1667501355.357,-43.945,48.340,-322.266,-187.012
1667501355.360,-358.887,41.992,-390.137,-146.973
1667501355.364,-151.367,43.945,-411.621,-45.410
1667501355.368,230.957,58.105,-305.176,-68.359
1667501355.372,73.242,53.711,-264.160,-145.508
1667501355.376,-333.984,35.645,-398.926,-122.070
1667501355.378,-264.648,35.156,-509.766,-7.324
1667501355.382,150.879,56.641,-264.648,-24.414
1667501355.386,177.246,51.270,-293.457,-100.586
1667501355.390,-259.766,46.387,-312.012,-109.863
1667501355.394,-356.445,50.781,-273.438,-44.434
1667501355.398,54.199,48.828,-336.914,20.020
1667501355.402,247.559,43.945,-320.312,-41.016
1667501355.405,-130.371,33.203,-462.891,-77.637
1667501355.409,-372.559,36.621,-435.059,-48.340
1667501355.413,-56.152,49.316,-229.980,8.301
1667501355.417,285.156,50.293,-301.758,-26.367
1667501355.421,4.883,48.828,-335.938,-100.098
1667501355.423,-360.352,53.223,-258.789,-91.797
1667501355.427,-184.570,49.316,-216.797,2.441
1667501355.431,219.727,38.086,-293.945,9.766
1667501355.435,102.051,39.551,-352.051,-68.359
1667501355.439,-337.891,46.387,-301.758,-99.609
1667501355.443,-304.199,52.734,-315.430,-0.488
1667501355.447,108.398,46.387,-385.742,44.922
1667501355.450,156.738,20.996,-599.609,-14.160
1667501355.454,-257.324,35.645,-467.285,-78.613
1667501355.458,-398.926,51.270,-191.895,-60.547
1667501355.462,0.000,35.156,-317.871,38.086
1667501355.466,245.117,37.109,-376.465,-10.254
1667501355.468,-121.094,45.898,-256.836,-99.121
1667501355.472,-401.855,37.109,-244.141,-79.590
1667501355.476,-117.188,31.738,-278.320,28.809
1667501355.480,245.605,38.574,-261.719,10.254
1667501355.484,17.090,37.109,-315.430,-77.637
1667501355.488,-376.953,40.527,-340.820,-96.680
1667501355.492,-257.324,33.691,-446.777,0.000
1667501355.495,164.551,31.250,-465.820,16.602
1667501355.499,101.074,43.457,-273.438,-105.469
1667501355.503,-365.723,33.203,-323.242,-158.691
1667501355.507,-419.434,35.645,-333.984,-79.102
1667501355.511,44.922,47.852,-274.414,-13.184
