timestamps,TP9,AF7,AF8,TP10
1667247690.377,-920.898,-968.750,-489.746,-821.289
1667247690.381,-331.055,-212.402,-534.180,0.488
1667247690.383,-1000.000,-1000.000,-576.660,-1000.000
1667247690.387,37.109,-290.039,-521.484,-238.770
1667247690.391,-779.297,-890.625,-479.492,-821.777
1667247690.395,168.945,147.949,-543.457,238.770
1667247690.399,-1000.000,-1000.000,-584.961,-1000.000
1667247690.403,-263.672,-634.277,-478.027,-448.242
1667247690.407,-810.547,880.371,-463.867,-900.391
1667247690.410,260.254,445.312,-451.172,584.961
1667247690.414,-1000.000,-1000.000,-487.305,-930.176
1667247690.418,-468.750,-980.469,-569.336,-1000.000
1667247690.422,-917.969,403.320,-457.031,427.246
1667247690.426,669.922,812.012,-442.383,968.750
1667247690.428,-915.527,-598.145,-569.824,-532.227
1667247690.432,-970.215,-1000.000,-579.590,-1000.000
1667247690.436,520.020,-50.781,-474.121,-101.074
1667247690.440,-842.773,-922.852,-460.449,-820.801
1667247690.444,-179.199,-95.215,-564.453,124.512
1667247690.448,-1000.000,-1000.000,-561.523,-1000.000
1667247690.452,-78.613,-375.977,-442.871,-256.348
1667247690.455,-788.086,-918.457,-433.594,-818.359
1667247690.459,210.938,223.145,-548.828,243.164
1667247690.463,-1000.000,-1000.000,-558.594,-1000.000
1667247690.467,-270.996,-749.512,-427.734,-519.043
1667247690.471,-811.523,743.652,-386.719,-927.734
1667247690.473,344.727,551.270,-513.672,564.453
1667247690.477,-1000.000,-938.965,-571.289,-943.359
1667247690.481,-577.148,-1000.000,-528.320,-1000.000
1667247690.485,-994.141,288.574,-491.699,266.602
1667247690.489,805.176,889.160,-487.305,-888.672
1667247690.493,-738.770,-476.074,-530.273,-279.785
1667247690.497,-1000.000,-1000.000,-463.867,-1000.000
1667247690.500,324.219,-137.207,-408.691,-153.809
1667247690.504,-807.129,-900.391,-503.906,-819.336
1667247690.508,-63.965,-8.789,-543.945,185.547
1667247690.512,-1000.000,-1000.000,-561.035,-1000.000
1667247690.516,-197.266,-466.309,-476.562,-333.496
1667247690.520,-807.129,-971.680,-446.777,-841.797
1667247690.524,226.074,288.086,-507.324,288.086
1667247690.528,-1000.000,-1000.000,-549.805,-1000.000
1667247690.532,-284.668,-820.312,-548.828,-730.957
1667247690.536,-820.801,651.855,-467.285,835.938
1667247690.540,435.059,622.559,-415.527,825.195
1667247690.544,-1000.000,-855.469,-502.930,-699.219
1667247690.547,-684.082,-1000.000,-579.590,-1000.000
1667247690.551,897.949,169.434,-507.812,137.695
1667247690.555,940.430,952.148,-472.656,-852.051
1667247690.559,-544.922,-354.980,-545.410,-174.805
1667247690.563,-1000.000,-1000.000,-587.891,-1000.000
1667247690.578,165.039,-210.938,-506.836,-211.426
1667247690.582,-786.621,-895.508,-448.242,-828.125
1667247690.586,43.945,48.828,-515.137,226.562
1667247690.590,-1000.000,-1000.000,-563.965,-1000.000
1667247690.594,-247.559,-552.734,-489.746,-425.781
1667247690.598,-815.430,953.125,-399.414,-876.953
1667247690.602,234.863,364.258,-457.520,384.277
1667247690.605,-1000.000,-1000.000,-570.801,-1000.000
1667247690.609,-371.094,-912.109,-560.059,-869.141
1667247690.613,-858.398,514.160,-363.281,711.914
1667247690.617,530.762,711.914,-368.652,799.805
1667247690.621,-1000.000,-731.934,-610.840,-733.398
1667247690.624,-849.121,-1000.000,-550.293,-1000.000
1667247690.628,691.895,31.738,-458.008,-34.668
1667247690.632,-933.594,-987.305,-486.816,-848.633
1667247690.636,-363.770,-237.305,-562.012,-69.824
1667247690.640,-1000.000,-1000.000,-532.227,-1000.000
1667247690.644,35.645,-294.922,-433.594,-230.469
1667247690.648,-780.762,-894.531,-465.820,-828.125
1667247690.651,165.039,148.926,-569.824,240.723
1667247690.655,-1000.000,-1000.000,-524.414,-1000.000
1667247690.659,-263.184,-616.699,-441.406,-484.863
1667247690.663,-810.547,895.996,-512.207,-905.762
1667247690.667,263.672,470.215,-543.457,499.023
1667247690.669,-1000.000,-1000.000,-562.988,-1000.000
1667247690.673,-462.402,-981.445,-534.180,-1000.000
1667247690.677,-913.574,414.062,-490.723,466.309
1667247690.681,666.504,810.059,-492.188,-975.098
1667247690.685,-919.434,-601.074,-516.113,-462.891
1667247690.689,-964.355,-1000.000,-502.441,-1000.000
1667247690.693,527.832,-50.781,-451.660,-11.230
1667247690.696,-843.750,-928.223,-430.664,-791.504
1667247690.700,-183.594,-105.469,-519.043,181.152
1667247690.704,-1000.000,-1000.000,-588.867,-1000.000
1667247690.708,-68.848,-361.816,-527.832,-270.508
1667247690.712,-786.621,-911.621,-470.703,-814.941
1667247690.713,210.449,206.543,-427.246,303.711
1667247690.717,-1000.000,-1000.000,-507.812,-1000.000
1667247690.721,-270.996,-720.215,-540.527,-612.793
1667247690.725,-811.523,776.367,-428.223,-989.258
1667247690.729,346.680,547.852,-441.406,605.957
1667247690.733,-1000.000,-941.895,-515.137,-931.152
1667247690.737,-570.312,-1000.000,-535.645,-1000.000
1667247690.740,-996.582,271.484,-415.527,288.574
1667247690.744,805.664,868.164,-333.984,-893.066
1667247690.748,-734.863,-467.285,-552.734,-294.922
1667247690.752,-1000.000,-1000.000,-578.613,-1000.000
1667247690.756,345.703,-130.859,-485.840,-140.137
1667247690.761,-808.105,-896.973,-499.512,-814.941
1667247690.765,-62.988,-4.883,-562.500,192.383
1667247690.769,-1000.000,-1000.000,-577.148,-1000.000
1667247690.773,-192.871,-456.543,-501.953,-312.500
1667247690.777,-805.664,-961.914,-472.656,-830.566
1667247690.781,225.098,286.133,-475.098,337.402
1667247690.785,-1000.000,-1000.000,-549.316,-1000.000
1667247690.788,-281.738,-832.031,-405.273,-590.820
1667247690.792,-819.824,629.395,-304.199,-990.723
1667247690.796,442.871,641.113,-523.438,697.266
1667247690.800,-1000.000,-836.914,-576.660,-812.988
1667247690.804,-673.340,-1000.000,-523.438,-1000.000
1667247690.807,906.738,171.387,-494.141,151.855
1667247690.811,947.754,971.680,-513.672,-840.820
1667247690.815,-533.203,-329.590,-558.594,-140.625
1667247690.819,-1000.000,-1000.000,-549.316,-1000.000
1667247690.823,177.734,-205.566,-485.840,-208.008
1667247690.827,-786.133,-892.090,-433.594,-824.219
1667247690.831,44.922,50.293,-477.051,228.516
1667247690.834,-1000.000,-1000.000,-507.324,-1000.000
1667247690.838,-247.559,-545.898,-518.555,-427.246
1667247690.842,-813.965,961.426,-478.027,-877.930
1667247690.846,233.887,363.281,-506.348,439.453
1667247690.850,-1000.000,-1000.000,-586.914,-1000.000
