timestamps,TP9,AF7,AF8,TP10
1664561356.824,-139.160,-29.297,-39.062,-53.223
1664561356.828,-71.289,-26.855,-39.551,-31.738
1664561356.832,43.945,-25.879,-34.668,0.488
1664561356.836,-5.371,-25.391,-33.203,-18.066
1664561356.840,-113.281,-23.926,-32.715,-50.293
1664561356.844,-94.727,-24.414,-33.203,-44.434
1664561356.848,29.785,-21.484,-33.691,-13.184
1664561356.851,34.668,-25.879,-35.645,-17.090
1664561356.855,-87.402,-31.250,-31.738,-53.711
1664561356.859,-114.746,-30.273,-28.809,-55.176
1664561356.863,-0.488,-30.762,-25.879,-20.508
1664561356.867,54.199,-36.133,-21.973,-8.301
1664561356.867,54.199,-36.133,-21.973,-8.301
1664561356.870,-17.090,-30.273,-32.227,-29.297
1664561356.874,-125.977,-31.250,-40.527,-59.570
1664561356.878,-76.172,-35.645,-37.598,-40.527
1664561356.881,46.387,-34.180,-35.645,-11.719
1664561356.885,16.602,-29.785,-36.133,-18.066
1664561356.889,-102.051,-31.738,-30.273,-48.340
1664561356.893,-99.121,-24.902,-21.973,-54.688
1664561356.897,27.832,-17.578,-15.137,-19.043
1664561356.899,48.828,-19.043,-18.555,-8.301
1664561356.903,-78.613,-24.902,-22.949,-47.363
1664561356.907,-121.094,-29.785,-25.391,-70.801
1664561356.911,-7.812,-34.668,-29.785,-37.598
1664561356.915,65.918,-32.227,-36.621,-7.812
1664561356.919,-31.738,-21.484,-32.227,-33.203
1664561356.923,-115.234,-19.531,-28.320,-62.012
1664561356.926,-38.086,-21.484,-33.691,-41.992
1664561356.930,54.199,-25.879,-30.273,-8.789
1664561356.934,-20.020,-29.785,-24.902,-27.832
1664561356.938,-118.652,-22.949,-31.250,-58.105
1664561356.942,-81.543,-23.438,-34.180,-44.434
1664561356.959,44.434,-30.273,-30.273,-4.395
1664561356.963,28.809,-25.879,-31.738,-12.207
1664561356.967,-88.379,-19.531,-28.320,-45.898
1664561356.971,-99.121,-21.484,-23.926,-41.992
1664561356.975,14.648,-24.902,-27.832,-9.766
1664561356.979,44.434,-20.508,-31.738,-1.953
1664561356.983,-73.242,-14.160,-31.250,-37.598
1664561356.986,-124.512,-15.137,-27.832,-42.480
1664561356.990,-22.461,-25.879,-28.809,-6.348
1664561356.994,57.129,-27.832,-29.297,4.395
1664561356.998,-35.645,-18.555,-33.203,-25.391
1664561357.002,-125.977,-24.902,-44.434,-46.875
1664561356.993,-57.617,-20.508,-49.316,-28.809
1664561356.997,61.523,-11.230,-44.434,2.930
1664561357.001,4.395,-25.391,-38.086,-12.207
1664561357.005,-116.211,-30.273,-37.109,-48.340
1664561357.009,-84.473,-23.438,-41.504,-45.410
1664561357.013,39.551,-30.273,-39.551,-13.184
1664561357.017,32.227,-36.621,-39.551,-12.695
1664561357.020,-85.938,-20.020,-40.527,-41.016
1664561357.024,-106.445,-18.555,-41.992,-48.340
1664561357.028,7.812,-34.668,-51.758,-17.578
1664561357.032,47.852,-33.203,-55.664,-4.883
1664561357.036,-63.965,-28.809,-47.363,-36.133
1664561357.049,-122.559,-36.133,-36.133,-51.758
1664561357.053,-31.250,-43.457,-38.086,-27.344
1664561357.057,58.105,-43.945,-40.527,-5.371
1664561357.061,-35.645,-35.645,-39.062,-31.250
1664561357.065,-130.371,-27.344,-44.434,-61.035
1664561357.069,-58.594,-23.438,-43.457,-39.062
1664561357.073,53.711,-28.809,-40.527,-8.789
1664561357.076,4.395,-35.645,-43.945,-19.531
1664561357.080,-114.746,-35.156,-45.898,-51.758
1664561357.084,-93.750,-32.715,-47.363,-55.664
1664561357.088,26.855,-32.715,-50.293,-16.113
1664561357.092,19.043,-36.133,-52.246,-14.648
1664561357.081,-105.469,-29.785,-44.922,-57.129
1664561357.085,-131.348,-26.855,-37.598,-58.105
1664561357.089,-9.766,-28.320,-34.180,-14.160
1664561357.093,36.621,-20.996,-38.086,-6.348
1664561357.097,-77.148,-27.344,-42.480,-44.922
1664561357.101,-138.672,-36.621,-43.457,-64.941
1664561357.105,-52.734,-36.133,-45.410,-38.086
1664561357.108,46.387,-33.691,-43.945,-4.883
1664561357.112,-22.949,-31.738,-39.551,-20.996
1664561357.116,-124.512,-23.926,-34.180,-48.828
1664561357.120,-88.867,-22.461,-41.016,-53.711
1664561357.124,28.809,-22.949,-41.504,-23.926
1664561357.131,3.906,-20.020,-25.879,-21.484
1664561357.135,-114.258,-23.926,-24.902,-50.781
1664561357.139,-110.352,-23.438,-31.250,-45.898
1664561357.143,20.020,-20.508,-26.855,-9.766
1664561357.147,43.457,-20.996,-26.367,-5.371
1664561357.151,-81.055,-16.113,-28.809,-36.621
1664561357.155,-124.512,-15.625,-33.691,-44.434
1664561357.158,-5.371,-18.555,-35.645,-12.695
1664561357.162,59.570,-17.090,-28.809,1.465
1664561357.166,-62.012,-24.414,-36.133,-41.016
1664561357.170,-143.555,-29.785,-39.551,-67.383
1664561357.174,-55.176,-20.996,-31.250,-40.527
1664561357.185,47.363,-21.973,-33.691,-10.254
1664561357.189,-23.438,-26.855,-38.086,-31.738
1664561357.193,-131.348,-24.902,-36.621,-63.477
