timestamps,TP9,AF7,AF8,TP10,marker
1664560764.284,84.473,-46.387,-60.547,61.035,0
1664560764.288,141.602,-39.551,-51.758,95.215,0
1664560764.292,-5.371,-39.551,-54.199,10.254,0
1664560764.295,-86.426,-46.387,-59.082,-40.527,0
1664560764.299,30.273,-46.875,-65.430,30.273,0
1664560764.303,141.113,-40.527,-63.965,90.820,0
1664560764.307,28.320,-45.898,-62.988,21.973,0
1664560764.311,-83.984,-51.758,-62.988,-49.805,0
1664560764.328,-0.977,-51.758,-55.664,-4.395,0
1664560764.332,131.348,-56.152,-56.152,69.824,0
1664560764.336,69.824,-55.664,-54.688,36.621,0
1664560764.340,-59.570,-50.293,-44.922,-31.738,0
1664560764.344,-41.992,-50.781,-43.945,-18.555,0
1664560764.348,105.469,-53.711,-46.875,61.523,0
1664560764.352,101.074,-56.641,-45.898,56.641,0
1664560764.355,-48.828,-61.523,-48.828,-32.715,0
1664560764.359,-73.730,-56.152,-44.434,-43.945,0
1664560764.363,69.336,-53.711,-43.945,40.039,0
1664560764.367,114.746,-62.988,-53.223,55.664,0
1664560764.371,-19.043,-61.523,-46.875,-18.066,0
1664560764.373,-90.820,-61.035,-37.598,-52.734,0
1664560764.377,15.625,-62.500,-36.621,5.859,0
1664560764.381,123.535,-61.035,-40.039,63.477,0
1664560764.385,24.414,-56.152,-35.645,12.695,0
1664560764.389,-92.773,-51.270,-28.809,-48.340,0
1664560764.393,-29.785,-56.152,-33.691,-11.230,0
1664560764.397,109.375,-63.477,-40.039,65.918,0
1664560764.400,68.359,-57.129,-32.715,38.086,0
1664560764.404,-51.270,-41.016,-25.391,-24.414,0
1664560764.408,-36.621,-46.875,-31.250,-7.812,0
1664560764.412,98.145,-62.500,-33.691,58.594,0
1664560764.416,112.305,-51.270,-17.578,68.848,0
1664560764.418,-31.738,-41.992,-8.301,-6.836,0
1664560764.422,-82.031,-47.363,-13.184,-36.133,0
1664560764.426,56.152,-48.828,-10.742,43.945,0
1664560764.430,136.230,-48.828,-5.371,87.402,0
1664560764.434,9.277,-42.969,-2.441,15.137,0
1664560764.438,-81.055,-43.457,-6.836,-35.645,0
1664560764.442,9.277,-49.805,-19.531,12.695,0
1664560764.445,147.461,-41.016,-14.160,91.309,0
1664560764.449,81.543,-32.715,-3.418,59.570,0
1664560764.453,-64.941,-45.898,-20.508,-35.645,0
1664560764.457,-26.855,-47.852,-24.902,-9.766,0
1664560764.461,136.719,-43.945,-15.137,92.773,0
1664560764.463,117.676,-40.527,-12.695,76.660,0
1664560764.467,-23.926,-39.062,-17.090,-8.301,0
1664560764.471,-27.832,-41.992,-17.090,-13.672,0
1664560764.475,122.070,-37.109,-14.160,69.824,0
1664560764.479,165.039,-30.762,-13.672,98.633,0
1664560764.483,27.344,-28.809,-7.812,16.602,0
1664560764.487,-41.016,-30.762,-8.789,-26.367,0
1664560764.490,88.379,-25.879,-7.324,63.477,0
1664560764.494,188.477,-29.785,-20.996,114.746,0
1664560764.498,77.637,-39.551,-31.738,43.945,0
1664560764.502,-37.109,-37.598,-11.719,-13.672,0
1664560764.506,5.371,-46.875,-9.766,0.000,0
1664560764.508,127.930,-57.129,-21.484,61.035,0
1664560764.512,71.777,-46.387,-15.625,29.785,0
1664560764.516,-56.641,-33.691,-0.977,-41.016,0
1664560764.520,-29.785,-41.504,-6.348,-26.855,0
1664560764.524,107.422,-46.387,-15.625,50.293,0
1664560764.528,103.516,-41.504,-8.301,46.387,0
1664560764.532,-34.180,-38.574,-1.953,-30.762,0
1664560764.535,-64.941,-34.668,-6.348,-37.598,0
1664560764.539,66.406,-43.457,-24.902,33.203,0
1664560764.543,119.141,-44.434,-24.414,54.199,0
1664560764.547,-12.695,-34.180,-13.672,-14.648,0
1664560764.551,-95.703,-27.344,-12.207,-53.223,0
1664560764.569,13.672,-27.832,-14.648,10.254,0
1664560764.573,129.395,-26.367,-11.719,74.219,0
1664560764.577,17.578,-25.391,-11.719,10.254,0
1664560764.581,-110.840,-32.227,-20.020,-67.383,0
1664560764.585,-44.434,-35.645,-21.973,-29.297,0
1664560764.589,106.934,-23.926,-18.066,56.152,0
1664560764.593,59.082,-14.648,-10.254,38.574,0
1664560764.596,-93.750,-21.484,-8.789,-47.852,0
1664560764.600,-95.215,-27.832,-18.066,-61.035,0
1664560764.604,63.477,-19.043,-11.230,32.227,0
1664560764.608,69.336,-19.531,-10.742,35.156,0
1664560764.612,-84.473,-24.902,-14.648,-57.129,0
1664560764.600,-119.629,-21.973,-12.695,-73.730,0
1664560764.604,26.367,-20.020,-12.695,6.348,0
1664560764.608,102.051,-16.113,-8.789,51.270,0
1664560764.612,-37.598,-12.207,-8.301,-20.020,0
1664560764.616,-141.113,-18.555,-16.113,-79.590,0
1664560764.620,-34.180,-19.043,-17.578,-13.184,0
1664560764.624,85.449,-17.090,-14.648,50.781,0
1664560764.627,-23.438,-16.602,-16.602,-15.137,0
1664560764.631,-150.879,-14.160,-13.672,-85.449,0
1664560764.635,-83.008,-7.324,-5.371,-40.527,0
1664560764.639,68.359,-7.812,-5.859,46.387,0
1664560764.643,12.207,-19.043,-18.555,6.348,0
1664560764.644,-129.883,-13.672,-8.789,-77.148,0
1664560764.648,-123.047,-12.695,-8.789,-68.848,0
1664560764.652,20.020,-23.926,-24.902,11.230,0
1664560764.656,45.898,-23.926,-26.855,14.648,0
1664560764.660,-87.402,-17.090,-20.996,-59.570,0
1664560764.664,-133.789,-14.648,-12.207,-68.359,0
1664560764.668,-8.301,-21.973,-18.066,1.465,0
1664560764.671,75.684,-22.461,-26.855,32.227,0
1664560764.675,-42.969,-16.113,-23.926,-43.457,0
1664560764.679,-140.625,-18.555,-20.996,-95.215,0
1664560764.683,-56.641,-25.879,-32.227,-41.016,0
1664560764.687,77.148,-21.973,-32.227,33.691,0
1664560764.704,13.184,-11.230,-17.090,2.930,0
1664560764.708,-107.422,-7.324,-12.207,-68.359,0
1664560764.712,-76.660,-9.766,-21.484,-55.176,0
1664560764.716,56.641,-13.184,-35.645,19.043,0
1664560764.720,44.434,-6.348,-29.785,15.625,0
1664560764.724,-94.727,2.441,-19.531,-56.152,0
1664560764.728,-125.000,-9.766,-35.156,-75.195,0
1664560764.731,15.137,-18.066,-47.363,2.930,0
1664560764.735,74.707,-7.812,-28.809,44.434,0
1664560764.739,-68.359,-5.371,-22.461,-33.203,0
1664560764.743,-158.691,-15.625,-40.039,-91.309,0
1664560764.747,-32.715,-14.160,-35.156,-20.508,0
