timestamps,TP9,AF7,AF8,TP10
1667321565.220,-33.203,-100.586,-54.199,-152.832
1667321565.224,-92.285,-117.188,-75.195,-185.547
1667321565.228,-99.609,-135.742,-116.211,-234.375
1667321565.232,-36.621,-115.234,-92.285,-196.777
1667321565.236,-43.945,-104.980,-66.895,-175.781
1667321565.240,-82.520,-106.934,-75.684,-201.660
1667321565.244,-92.773,-126.465,-103.027,-213.867
1667321565.247,-40.527,-110.352,-79.590,-158.691
1667321565.251,-17.090,-87.891,-46.875,-124.023
1667321565.255,-101.074,-119.629,-92.285,-201.660
1667321565.259,-95.215,-119.141,-99.121,-198.242
1667321565.263,-25.391,-93.750,-64.941,-128.906
1667321565.272,-49.805,-99.121,-73.730,-145.996
1667321565.276,-93.262,-101.074,-74.707,-173.828
1667321565.280,-109.863,-94.727,-75.195,-184.570
1667321565.284,-97.656,-91.309,-82.520,-181.152
1667321565.288,-74.707,-88.379,-75.195,-158.691
1667321565.292,-87.891,-76.172,-56.641,-152.344
1667321565.296,-131.836,-83.984,-61.523,-176.758
1667321565.299,-68.359,-64.941,-37.598,-122.070
1667321565.303,-29.785,-65.918,-38.574,-102.539
1667321565.307,-124.023,-100.098,-98.633,-203.125
1667321565.311,-135.742,-81.055,-79.102,-197.266
1667321565.315,-121.582,-80.566,-82.031,-175.781
1667321565.304,-95.703,-84.961,-98.145,-180.664
1667321565.308,-76.660,-67.871,-64.941,-163.574
1667321565.312,-130.371,-66.895,-63.477,-190.918
1667321565.316,-125.000,-66.406,-62.500,-179.688
1667321565.320,-81.543,-72.266,-69.336,-161.133
1667321565.324,-79.590,-71.289,-76.172,-175.781
1667321565.328,-102.539,-61.523,-64.941,-183.594
1667321565.331,-150.879,-72.754,-77.637,-204.102
1667321565.335,-138.184,-75.195,-84.473,-211.426
1667321565.339,-90.332,-58.105,-68.848,-180.664
1667321565.343,-86.426,-36.133,-42.969,-154.785
1667321565.347,-115.723,-40.527,-32.715,-155.273
1667321565.347,-149.414,-76.172,-76.660,-187.500
1667321565.351,-100.586,-64.453,-69.824,-149.902
1667321565.355,-72.754,-38.574,-33.691,-124.512
1667321565.359,-128.906,-48.828,-54.688,-185.547
1667321565.363,-122.070,-47.363,-59.570,-182.129
1667321565.367,-57.129,-35.156,-41.992,-143.066
1667321565.371,-23.926,-17.090,-15.625,-112.305
1667321565.374,-77.637,-22.461,-18.555,-124.023
1667321565.378,-137.695,-61.523,-71.777,-184.570
1667321565.382,-55.664,-36.133,-43.457,-128.418
1667321565.386,-7.324,-18.066,-16.602,-90.820
1667321565.390,-69.336,-41.504,-45.898,-150.391
1667321565.408,-105.957,-48.340,-51.758,-162.598
1667321565.412,-61.035,-38.086,-37.598,-118.164
1667321565.416,-5.371,-31.250,-26.855,-89.844
1667321565.420,-27.344,-36.133,-36.133,-107.910
1667321565.424,-70.312,-40.039,-38.086,-124.512
1667321565.428,-27.344,-31.250,-11.230,-83.496
1667321565.432,24.902,-25.391,-9.277,-52.246
1667321565.435,-28.809,-47.363,-47.363,-116.699
1667321565.439,-64.453,-42.969,-41.992,-142.578
1667321565.443,-35.645,-36.621,-29.785,-119.141
1667321565.447,2.930,-41.504,-32.227,-102.539
1667321565.451,7.812,-39.551,-34.180,-105.957
1667321565.452,-25.879,-37.598,-27.344,-120.117
1667321565.456,-26.855,-30.273,-11.230,-103.516
1667321565.460,9.766,-33.203,-15.625,-82.520
1667321565.464,17.578,-42.969,-30.273,-97.168
1667321565.468,-5.371,-36.133,-17.578,-108.398
1667321565.472,-22.949,-35.645,-3.906,-106.445
1667321565.476,-4.395,-48.340,-18.066,-94.727
1667321565.479,11.719,-55.664,-26.367,-91.309
1667321565.483,-5.371,-50.293,-19.531,-107.910
1667321565.487,-4.395,-23.926,12.695,-91.797
1667321565.491,-13.672,-38.574,-5.859,-98.633
