timestamps,TP9,AF7,AF8,TP10
1664549461.595,-35.645,-21.973,-20.508,-23.438,0
1664549461.599,-58.105,-20.996,-21.973,-45.898,0
1664549461.603,-42.480,-22.461,-29.785,-29.785,0
1664549461.607,-16.602,-20.996,-51.758,3.906,0
1664549461.611,-24.902,-26.367,-46.387,2.441,0
1664549461.614,-49.316,-31.250,-2.441,-33.203,0
1664549461.618,-40.527,-25.391,9.277,-39.551,0
1664549461.622,-21.484,-24.414,-6.348,-5.859,0
1664549461.626,-31.250,-22.949,-12.207,-0.977,0
1664549461.630,-46.387,-21.973,-27.344,-23.926,0
1664549461.632,-41.504,-18.066,-22.949,-22.949,0
1664549461.636,-29.297,-20.996,-7.812,-8.789,0
1664549461.640,-25.391,-24.414,-23.926,-1.953,0
1664549461.644,-36.133,-15.625,-36.133,-14.648,0
1664549461.648,-49.805,-14.648,-38.574,-26.855,0
1664549461.652,-40.527,-23.438,-30.762,-6.836,0
1664549461.656,-29.297,-24.902,-10.254,9.766,0
1664549461.659,-44.434,-22.461,-3.906,-18.555,0
1664549461.663,-56.641,-24.414,-20.996,-32.715,0
1664549461.667,-42.969,-24.902,-26.367,-4.883,0
1664549461.671,-26.855,-22.949,-18.555,-6.836,0
1664549461.675,-35.645,-25.879,-21.973,-15.625,0
1664549461.677,-62.012,-26.367,-27.344,-22.949,0
1664549461.681,-67.871,-26.367,-37.598,-26.855,0
1664549461.685,-47.363,-23.926,-46.387,-9.766,0
1664549461.689,-41.992,-28.809,-46.387,-10.254,0
1664549461.693,-62.988,-32.227,-22.461,-31.250,0
1664549461.697,-65.918,-25.879,-17.578,-33.691,0
1664549461.701,-41.504,-23.438,-27.832,-15.625,0
1664549461.704,-38.574,-20.508,-20.996,-12.695,0
1664549461.708,-58.105,-20.508,-19.043,-14.160,0
1664549461.712,-59.570,-24.414,-16.602,-28.809,0
1664549461.716,-40.527,-26.367,-24.902,-32.715,0
1664549461.720,-33.203,-29.785,-33.203,-14.648,0
1664549461.722,-42.969,-31.250,-23.438,-25.879,0
1664549461.726,-42.969,-20.996,-39.551,-30.762,0
1664549461.730,-41.992,-19.043,-33.691,-23.438,0
1664549461.734,-34.180,-20.996,-15.625,-6.836,0
1664549461.738,-34.668,-21.484,-17.578,-7.812,0
1664549461.742,-56.641,-23.926,-20.996,-29.297,0
1664549461.746,-56.152,-20.996,-34.668,-28.809,0
1664549461.749,-32.715,-20.508,-40.039,-5.859,0
1664549461.753,-28.809,-18.555,-31.738,0.977,0
1664549461.757,-45.410,-16.113,-28.809,-31.250,0
1664549461.761,-47.852,-16.602,-32.715,-30.273,0
1664549461.765,-33.203,-24.414,-33.691,-10.254,0
1664549462.667,-27.344,-24.902,-30.273,-9.766,0
1664549462.671,-41.504,-22.461,-24.414,-28.809,0
1664549462.675,-54.688,-21.973,-32.227,-47.363,0
1664549462.679,-41.016,-24.902,-26.855,-29.297,0
1664549462.683,-20.996,-20.996,-15.137,0.000,0
1664549462.687,-35.156,-17.090,-10.742,-14.160,0
1664549462.691,-59.570,-18.066,-17.090,-40.039,0
1664549462.694,-55.664,-19.531,-31.250,-17.578,0
1664549462.698,-36.621,-25.879,-19.531,-5.859,0
1664549462.702,-37.598,-25.879,-16.113,-30.273,0
1664549462.706,-45.898,-17.578,-37.598,-29.785,0
1664549462.710,-41.504,-15.137,-41.016,-15.625,0
1664549462.667,-37.109,-20.508,-23.438,-8.301,0
1664549462.671,-37.598,-19.043,-10.254,-20.020,0
1664549462.675,-55.176,-18.555,-17.090,-43.457,0
1664549462.679,-66.406,-20.020,-34.668,-46.387,0
1664549462.683,-45.410,-21.484,-41.992,-20.020,0
1664549462.687,-27.344,-18.555,-34.668,-2.930,0
1664549462.691,-33.691,-12.207,-29.785,-17.578,0
1664549462.694,-45.410,-15.625,-31.250,-23.926,0
1664549462.698,-41.016,-13.672,-26.367,-17.090,0
1664549462.702,-22.949,-12.207,-28.320,-16.602,0
1664549462.706,-33.691,-19.531,-26.367,-26.855,0
1664549462.710,-59.570,-24.414,-11.719,-38.574,0
1664549462.676,-61.035,-25.391,-11.719,-36.133,0
1664549462.680,-34.180,-23.438,-11.719,-9.277,0
1664549462.684,-25.391,-24.414,-10.254,3.418,0
1664549462.688,-47.363,-23.438,-11.719,-29.297,0
1664549462.692,-45.410,-20.508,-24.414,-38.086,0
1664549462.696,-20.996,-15.625,-27.832,-11.719,0
1664549462.700,-14.648,-18.066,-18.555,8.789,0
1664549462.703,-43.457,-27.832,-3.906,-14.160,0
1664549462.707,-62.500,-28.809,1.953,-62.500,0
1664549462.711,-43.457,-33.203,-14.648,-46.387,0
1664549462.715,-35.645,-39.062,-23.926,-17.578,0
1664549462.719,-47.852,-30.762,-29.297,-20.996,0
1664549462.683,-62.988,-30.762,-13.672,-45.898,0
1664549462.687,-62.500,-36.621,-4.395,-40.039,0
1664549462.691,-38.086,-33.203,-22.949,-10.254,0
1664549462.695,-41.016,-38.086,-22.461,-28.809,0
1664549462.699,-64.941,-35.645,-0.488,-58.105,0
1664549462.703,-62.012,-31.738,3.418,-42.969,0
1664549462.707,-31.250,-26.855,-10.742,-2.930,0
