timestamps,TP9,AF7,AF8,TP10,marker
1667247895.928,5.859,-120.605,-68.359,-247.070,0
1667247895.932,1.953,-102.051,-57.129,-256.836,0
1667247895.936,-65.918,-87.402,-64.453,-281.250,0
1667247895.940,-93.750,-91.309,-67.383,-260.742,0
1667247895.944,-17.090,-95.703,-58.105,-236.328,0
1667247895.948,-2.930,-108.887,-61.523,-265.137,0
1667247895.952,-88.379,-110.840,-65.918,-297.363,0
1667247895.955,-120.605,-106.445,-59.570,-296.387,0
1667247895.959,-64.941,-114.746,-48.340,-216.309,0
1667247895.963,-13.672,-114.746,-48.828,-196.777,0
1667247895.967,-48.340,-103.516,-56.641,-275.879,0
1667247895.971,-110.352,-102.051,-64.941,-275.879,0
1667247895.980,-58.105,-99.609,-69.336,-247.070,0
1667247895.984,26.367,-89.844,-67.871,-212.402,0
1667247895.988,-29.297,-95.215,-68.848,-214.355,0
1667247895.992,-130.859,-99.609,-61.523,-292.480,0
1667247895.996,-101.562,-108.887,-49.316,-278.320,0
1667247896.000,-6.836,-122.559,-48.828,-245.605,0
1667247896.004,-5.859,-118.164,-51.270,-265.137,0
1667247896.007,-75.195,-101.074,-39.551,-238.770,0
1667247896.011,-85.938,-98.633,-33.203,-225.586,0
1667247896.015,5.859,-104.004,-40.039,-267.578,0
1667247896.019,28.320,-107.910,-48.828,-303.711,0
1667247896.023,-63.477,-102.539,-53.711,-338.379,0
1667247896.017,-106.445,-81.055,-48.828,-346.191,0
1667247896.021,-37.109,-76.660,-41.504,-300.293,0
1667247896.025,31.738,-81.055,-43.457,-271.973,0
1667247896.029,-31.250,-86.914,-38.574,-265.137,0
1667247896.033,-83.984,-91.797,-33.203,-268.555,0
1667247896.037,-50.781,-86.426,-46.875,-275.879,0
1667247896.041,32.227,-76.172,-53.223,-260.254,0
1667247896.044,36.621,-60.059,-41.504,-242.188,0
1667247896.048,-62.500,-48.828,-46.387,-285.156,0
1667247896.052,-78.125,-48.340,-58.105,-285.645,0
1667247896.056,-40.039,-62.012,-65.430,-270.020,0
1667247896.060,-4.395,-64.453,-81.055,-314.941,0
1667247896.062,-78.125,-58.594,-94.238,-350.586,0
1667247896.066,-129.883,-59.570,-99.609,-355.957,0
1667247896.070,-39.551,-60.059,-115.234,-355.469,0
1667247896.074,5.859,-56.641,-125.000,-348.145,0
1667247896.078,-84.961,-51.270,-123.047,-345.703,0
1667247896.082,-126.465,-45.410,-133.301,-355.469,0
1667247896.086,-30.273,-36.133,-129.395,-308.594,0
1667247896.089,28.320,-23.438,-117.676,-254.395,0
1667247896.093,-11.719,-19.043,-125.977,-315.430,0
1667247896.097,-77.148,-13.184,-128.906,-354.492,0
1667247896.101,-43.945,-0.488,-126.953,-358.887,0
1667247896.105,33.691,-3.418,-132.812,-360.840,0
1667247896.108,6.348,-3.418,-136.230,-357.910,0
1667247896.112,-56.152,2.930,-129.395,-366.699,0
1667247896.116,-41.016,1.953,-120.605,-366.699,0
1667247896.120,44.434,4.395,-124.512,-338.379,0
1667247896.124,54.688,2.441,-137.207,-335.449,0
1667247896.128,-23.438,-0.488,-133.789,-359.863,0
1667247896.132,-71.289,-6.348,-132.812,-357.910,0
1667247896.135,-41.504,-8.789,-134.277,-327.148,0
1667247896.139,28.809,4.395,-121.582,-291.016,0
1667247896.143,-9.277,17.090,-99.609,-291.504,0
1667247896.147,-77.148,20.020,-93.262,-319.824,0
1667247896.151,-17.578,26.855,-99.121,-291.504,0
1667247896.152,25.879,31.738,-102.051,-264.648,0
1667247896.156,-33.203,28.809,-106.934,-278.809,0
1667247896.160,-100.586,42.480,-110.352,-267.090,0
1667247896.164,-44.922,55.664,-96.680,-263.672,0
1667247896.168,39.062,65.430,-88.379,-251.953,0
1667247896.172,9.766,67.871,-93.750,-245.117,0
1667247896.176,-60.059,65.430,-89.844,-262.695,0
1667247896.179,-77.148,68.359,-89.355,-257.812,0
1667247896.183,11.719,77.148,-89.355,-232.422,0
1667247896.187,34.668,78.613,-91.797,-228.516,0
1667247896.191,-72.754,64.453,-101.562,-246.582,0
1667247896.195,-73.730,62.500,-110.840,-282.715,0
1667247896.198,-7.324,63.477,-100.586,-304.688,0
1667247896.202,5.371,72.754,-78.613,-269.043,0
1667247896.206,-36.621,87.402,-75.684,-257.812,0
1667247896.210,-84.961,91.309,-68.848,-269.043,0
1667247896.214,-30.762,90.332,-58.105,-238.281,0
1667247896.218,63.477,81.543,-72.754,-208.008,0
1667247896.222,60.059,81.543,-98.145,-231.934,0
1667247896.225,-9.766,80.078,-94.238,-271.973,0
1667247896.229,-26.367,67.383,-87.891,-255.859,0
1667247896.233,67.383,68.359,-90.820,-199.219,0
1667247896.237,85.938,72.754,-102.539,-233.398,0
1667247896.241,10.742,62.988,-120.605,-273.926,0
1667247896.257,-25.391,43.945,-118.164,-250.977,0
1667247896.261,56.641,40.039,-112.793,-232.422,0
1667247896.265,119.141,55.664,-112.793,-229.492,0
1667247896.269,28.320,57.617,-123.047,-238.281,0
1667247896.273,-37.598,61.035,-131.348,-262.207,0
1667247896.277,-24.414,69.336,-135.742,-265.625,0
1667247896.281,23.926,66.895,-134.766,-230.957,0
1667247896.284,5.859,94.727,-125.000,-226.074,0
1667247896.288,-72.266,122.559,-122.559,-259.766,0
1667247896.292,-51.758,120.605,-133.301,-244.629,0
1667247896.296,39.062,122.070,-136.230,-229.004,0
1667247896.300,-4.883,122.559,-129.395,-255.371,0
1667247896.302,-115.234,115.723,-131.348,-257.812,0
1667247896.306,-118.652,111.816,-138.184,-253.906,0
1667247896.310,-66.895,106.445,-148.438,-222.168,0
1667247896.314,-145.508,95.215,-155.762,-226.074,0
1667247896.318,-312.012,86.426,-155.762,-278.320,0
1667247896.322,-394.043,85.938,-152.832,-281.250,0
1667247896.326,-382.324,79.590,-149.414,-259.766,0
1667247896.329,-440.430,58.594,-150.391,-222.168,0
1667247896.333,-641.113,47.363,-146.973,-211.914,0
1667247896.337,-804.688,45.898,-163.086,-257.324,0
1667247896.341,-835.938,41.992,-171.875,-269.531,0
1667247896.345,-836.914,47.363,-159.180,-231.934,0
1667247896.347,-906.738,50.293,-156.738,-222.168,0
1667247896.351,-1000.000,36.133,-156.738,-239.258,0
1667247896.355,-977.539,31.738,-148.438,-197.266,0
1667247896.359,-871.582,20.996,-140.625,-167.969,0
1667247896.363,-905.762,2.930,-146.484,-206.543,0
1667247896.367,-986.328,1.953,-160.156,-240.723,0
1667247896.371,-947.754,5.371,-155.273,-224.121,0
1667247896.374,-858.887,-7.324,-136.719,-211.914,0
1667247896.378,-800.293,-24.414,-131.836,-211.426,0
1667247896.382,-828.613,-28.809,-134.277,-220.703,0
1667247896.386,-829.590,-31.250,-129.883,-247.070,0
1667247896.390,-752.441,-17.578,-128.418,-244.141,0
1667247896.392,-693.848,-13.672,-134.766,-216.797,0
1667247896.396,-727.051,-26.855,-131.836,-236.328,0
1667247896.400,-762.207,-36.133,-128.906,-234.375,0
1667247896.404,-656.250,-41.504,-126.953,-219.238,0
1667247896.408,-523.438,-40.039,-127.930,-231.934,0
1667247896.412,-530.273,-38.574,-125.977,-225.098,0
1667247896.416,-594.238,-29.297,-124.512,-248.047,0
1667247896.419,-556.152,-25.879,-116.211,-238.770,0
1667247896.423,-455.566,-36.133,-113.770,-203.125,0
1667247896.427,-446.289,-38.574,-122.559,-217.285,0
1667247896.431,-504.395,-38.086,-131.836,-223.145,0
1667247896.435,-502.930,-36.133,-132.324,-207.520,0
1667247896.438,-432.617,-30.273,-131.836,-200.684,0
1667247896.442,-420.410,-30.273,-145.020,-212.891,0
1667247896.446,-553.223,-36.621,-146.484,-254.883,0
1667247896.450,-588.379,-41.016,-133.301,-261.719,0
1667247896.454,-514.648,-22.949,-126.953,-202.637,0
