timestamps,TP9,AF7,AF8,TP10
1664200649.037,-20.020,-25.879,-21.484,-58.105
1664200649.041,-26.855,-22.949,-16.113,-44.922
1664200649.045,-13.184,-26.367,-15.625,-33.691
1664200649.049,-5.371,-24.414,-16.113,-50.293
1664200649.053,-11.719,-16.113,-12.695,-44.434
1664200649.057,-11.719,-17.578,-16.602,-33.203
1664200649.061,-20.508,-23.438,-20.508,-48.828
1664200649.064,-13.672,-21.484,-18.555,-47.363
1664200649.068,-5.371,-18.555,-17.578,-48.828
1664200649.072,-17.578,-22.949,-20.996,-53.711
1664200649.076,-5.859,-21.973,-20.020,-48.828
1664200649.080,6.836,-22.461,-12.207,-42.969
1664200649.082,-3.906,-25.391,-14.648,-44.434
1664200649.086,-10.254,-20.020,-16.602,-51.270
1664200649.090,-9.766,-20.508,-19.043,-38.086
1664200649.094,5.859,-15.137,-17.090,-34.180
1664200649.098,8.301,-12.207,-14.648,-40.527
1664200649.102,5.859,-16.113,-15.137,-29.297
1664200649.106,-5.859,-18.555,-16.113,-28.809
1664200649.109,0.977,-24.414,-15.137,-20.020
1664200649.113,2.930,-17.090,-11.719,-4.395
1664200649.117,0.977,-9.766,-16.602,-40.039
1664200649.121,-3.418,-21.973,-22.461,-43.457
1664200649.125,-33.691,-24.414,-19.531,-40.039
1664200649.127,-18.066,-23.926,-18.555,-46.387
1664200649.131,-10.742,-23.438,-22.461,-31.250
1664200649.135,-22.461,-21.484,-20.020,-32.715
1664200649.139,-18.066,-18.555,-20.020,-24.414
1664200649.143,-22.949,-14.160,-21.973,-14.648
1664200649.147,-14.648,-16.113,-22.949,-26.367
1664200649.151,-2.930,-25.391,-21.973,-24.902
1664200649.154,-17.090,-23.438,-20.020,-23.438
1664200649.158,-33.691,-10.254,-20.508,-29.297
1664200649.162,-5.859,-12.207,-22.461,-32.227
1664200649.166,0.488,-22.461,-24.414,-37.109
1664200649.170,-39.062,-27.832,-23.438,-41.992
1664200649.172,-30.762,-25.391,-18.066,-37.598
1664200649.176,-17.578,-26.855,-20.508,-47.852
1664200649.180,-20.020,-27.832,-26.367,-45.410
1664200649.184,1.465,-23.926,-20.508,-21.973
1664200649.188,-2.441,-24.902,-14.160,-35.645
1664200649.192,-21.484,-22.949,-17.090,-41.016
1664200649.196,-21.973,-29.785,-20.508,-29.297
1664200649.199,-18.066,-23.438,-23.438,-24.902
1664200649.203,-19.043,-7.324,-20.508,-18.555
1664200649.207,-8.301,-12.207,-10.742,-20.996
1664200649.211,7.812,-18.066,-12.695,-24.902
1664200649.215,12.695,-16.602,-15.137,-19.531
1664200649.219,2.930,-19.531,-11.719,-10.254
