timestamps,TP9,AF7,AF8,TP10
1664548748.034,-65.918,-33.691,445.312,-63.477,0
1664548748.037,-57.129,-26.367,458.008,-51.758,0
1664548748.041,-81.543,-20.996,532.715,-86.426,0
1664548748.045,-88.867,-34.180,507.324,-89.844,0
1664548748.049,-67.871,-33.691,503.418,-64.453,0
1664548748.053,-55.664,-27.832,519.531,-62.988,0
1664548748.054,-60.059,-24.414,521.973,-59.082,0
1664548748.058,-67.383,-22.461,495.605,-43.945,0
1664548748.062,-69.824,-24.414,478.027,-60.059,0
1664548748.066,-67.871,-33.691,522.461,-86.914,0
1664548748.070,-65.430,-39.551,532.715,-80.078,0
1664548748.074,-70.312,-40.527,490.234,-63.477,0
1664548748.078,-58.105,-34.180,472.168,-41.992,0
1664548748.081,-45.410,-23.438,514.160,-45.410,0
1664548748.085,-54.688,-30.273,519.531,-74.219,0
1664548748.089,-62.012,-33.203,489.746,-67.383,0
1664548748.093,-61.523,-34.668,481.445,-51.270,0
1664548748.097,-48.828,-35.156,505.859,-62.988,0
1664548748.099,-47.363,-31.250,512.695,-73.242,0
1664548748.103,-58.594,-39.551,463.379,-67.871,0
1664548748.107,-64.453,-39.551,466.309,-71.289,0
1664548748.111,-58.105,-34.180,472.168,-69.336,0
1664548748.115,-51.758,-32.715,455.078,-67.383,0
1664548748.119,-57.617,-42.480,395.508,-59.082,0
1664548748.123,-68.359,-43.457,430.176,-61.523,0
1664548748.126,-66.406,-28.320,506.836,-66.895,0
1664548748.130,-45.410,-30.273,471.191,-52.734,0
1664548748.134,-46.387,-41.016,446.289,-51.758,0
1664548748.138,-65.918,-31.250,474.609,-62.012,0
1664548748.142,-60.059,-24.414,493.652,-61.523,0
1664548748.160,-51.758,-34.180,490.723,-55.176,0
1664548748.164,-52.246,-30.273,506.836,-64.941,0
1664548748.168,-54.688,-16.602,512.695,-73.242,0
1664548748.172,-58.105,-20.508,501.465,-65.918,0
1664548748.176,-53.223,-31.738,485.352,-47.363,0
1664548748.180,-43.945,-35.156,471.680,-37.598,0
1664548748.184,-62.012,-34.180,497.070,-67.871,0
1664548748.187,-69.336,-28.809,519.043,-74.707,0
1664548748.191,-49.805,-36.133,510.254,-58.105,0
1664548748.195,-44.434,-42.969,519.531,-56.152,0
1664548748.199,-54.199,-35.156,546.875,-62.500,0
1664548748.203,-57.129,-20.996,542.969,-68.359,0
1664548748.204,-47.363,-20.996,497.070,-57.617,0
1664548748.208,-41.504,-28.809,520.020,-47.852,0
1664548748.212,-48.828,-26.367,560.547,-54.688,0
1664548748.216,-58.105,-31.738,537.109,-52.246,0
1664548748.220,-62.500,-37.109,482.910,-47.852,0
1664548748.224,-54.688,-30.762,486.816,-53.711,0
1664548748.228,-54.199,-30.762,513.672,-62.988,0
1664548748.231,-71.777,-31.738,511.719,-77.148,0
1664548748.235,-65.430,-32.715,465.820,-51.758,0
1664548748.239,-55.176,-31.250,469.727,-41.992,0
1664548748.243,-62.500,-23.926,525.879,-65.918,0
1664548748.247,-61.035,-27.344,469.238,-50.293,0
1664548748.251,-70.312,-28.809,444.336,-56.152,0
1664548748.255,-73.730,-31.250,433.594,-69.824,0
1664548748.259,-56.641,-27.832,399.902,-62.500,0
