timestamps,TP9,AF7,AF8,TP10
1664462251.848,2.930,-19.531,97.168,-2.930,0
1664462251.852,-28.320,-22.461,94.238,-7.324,0
1664462251.856,-40.527,-19.531,87.402,1.465,0
1664462251.860,-22.949,-21.973,86.914,-2.930,0
1664462251.864,4.883,-19.531,85.938,7.324,0
1664462251.866,-14.648,-16.113,84.961,17.578,0
1664462251.870,-35.156,-18.066,86.914,5.859,0
1664462251.874,-25.391,-18.555,88.867,1.465,0
1664462251.878,3.418,-17.578,81.543,17.090,0
1664462251.882,3.418,-18.066,78.125,20.508,0
1664462251.886,-21.484,-19.531,82.031,4.883,0
1664462251.890,-22.461,-20.996,82.520,-1.953,0
1664462251.893,-5.371,-26.367,86.426,-3.906,0
1664462251.897,2.930,-26.367,79.590,2.930,0
1664462251.901,-22.949,-23.438,77.637,9.277,0
1664462251.905,-22.949,-21.973,83.984,4.395,0
1664462251.909,3.418,-22.949,77.148,13.184,0
1664462251.911,25.391,-20.020,79.590,21.484,0
1664462251.915,6.348,-16.113,85.938,5.859,0
1664462251.919,-6.348,-14.160,83.496,7.812,0
1664462251.923,4.883,-16.602,80.566,21.973,0
1664462251.927,20.020,-16.113,80.566,19.531,0
1664462251.931,-3.418,-15.625,78.125,-0.977,0
1664462251.935,-31.738,-18.555,74.707,-20.996,0
1664462251.938,-34.668,-26.855,73.730,-20.020,0
1664462251.942,-8.301,-28.809,70.312,4.883,0
1664462251.946,-8.789,-20.020,78.125,0.977,0
1664462251.950,-38.574,-20.508,82.520,-14.160,0
1664462251.954,-36.133,-22.461,82.031,-9.277,0
1664462251.956,-19.531,-20.020,80.566,3.906,0
1664462251.960,-4.883,-21.973,85.449,18.066,0
1664462251.964,-20.020,-19.043,92.773,10.742,0
1664462251.968,-26.367,-17.090,85.449,5.371,0
1664462251.972,-13.672,-20.996,84.473,8.789,0
1664462251.976,2.441,-17.090,81.543,17.578,0
1664462251.980,-19.043,-21.484,80.566,-2.930,0
1664462251.983,-41.992,-31.250,79.590,-12.207,0
1664462251.987,-37.598,-33.691,75.195,-5.859,0
1664462251.991,-8.301,-34.668,76.172,-7.812,0
1664462251.995,-15.625,-32.715,74.707,-13.672,0
1664462251.999,-39.062,-29.785,73.242,-18.555,0
1664462252.001,-38.574,-29.297,73.242,-14.160,0
1664462252.005,-12.207,-32.715,70.312,-2.441,0
1664462252.009,-1.465,-30.273,73.730,4.395,0
1664462252.013,-27.344,-28.809,77.637,4.395,0
1664462252.017,-30.762,-32.715,75.684,-4.883,0
1664462252.021,-7.812,-33.691,75.195,-8.789,0
1664462252.025,10.742,-25.879,78.613,-0.488,0
1664462252.028,-21.484,-32.715,62.500,0.488,0
1664462252.032,-39.551,-38.086,57.129,-2.930,0
1664462252.036,-11.719,-31.250,68.359,0.977,0
1664462252.040,16.113,-29.785,67.871,8.301,0
1664462252.044,-9.766,-34.668,62.500,-1.465,0
1664462252.046,-26.367,-35.156,64.453,-9.766,0
1664462252.050,-19.531,-34.180,69.824,-10.254,0
1664462252.054,-2.930,-27.832,65.918,3.418,0
1664462252.058,-3.906,-24.414,72.266,0.000,0
1664462252.062,-25.391,-31.738,78.613,-16.113,0
1664462252.066,-29.785,-29.297,73.242,-15.137,0
1664462252.070,-13.672,-29.297,63.477,0.977,0
1664462252.073,-18.066,-32.227,66.895,6.348,0
1664462252.077,-42.480,-35.645,72.754,-16.602,0
1664462252.081,-48.340,-41.504,71.289,-23.438,0
1664462252.085,-31.738,-40.039,72.266,-8.789,0
1664462252.089,-19.043,-36.133,76.660,-1.953,0
1664462252.091,-44.434,-34.180,78.125,-17.578,0
1664462252.095,-59.082,-35.645,76.172,-17.090,0
1664462252.099,-48.828,-35.156,75.195,-4.883,0
1664462252.103,-20.508,-34.668,76.172,-1.465,0
1664462252.107,-23.926,-34.180,83.008,-14.160,0
1664462252.111,-42.969,-28.809,83.008,-7.812,0
1664462252.115,-51.270,-31.738,72.266,6.836,0
1664462252.118,-25.391,-35.156,70.801,6.348,0
1664462252.122,-19.043,-34.668,74.219,-4.395,0
1664462252.126,-39.062,-38.574,75.684,-20.508,0
1664462252.130,-43.945,-37.598,69.824,-23.926,0
1664462252.134,-19.043,-37.109,68.848,-15.137,0
1664462252.135,-6.348,-36.621,71.777,-14.160,0
1664462252.139,-36.621,-34.180,69.824,-17.578,0
1664462252.143,-40.039,-31.738,72.266,-14.648,0
1664462252.147,-24.902,-27.832,74.219,-10.254,0
1664462252.151,-7.324,-22.461,77.637,-2.930,0
1664462252.155,-28.809,-16.602,73.730,-1.953,0
1664462252.159,-46.875,-21.973,61.035,-10.254,0
1664462252.162,-35.645,-33.691,56.152,-20.508,0
1664462252.166,-8.301,-35.156,59.082,-10.254,0
1664462252.170,-25.879,-41.504,60.547,-4.883,0
1664462252.174,-56.152,-40.039,65.918,-5.859,0
1664462252.178,-47.363,-29.297,73.242,-13.184,0
1664462252.196,-18.555,-31.250,74.707,-9.277,0
1664462252.200,-23.438,-34.668,65.918,-13.184,0
1664462252.204,-42.480,-30.762,71.289,-16.113,0
1664462252.208,-41.016,-31.250,81.543,-8.301,0
1664462252.212,-11.230,-30.273,77.637,6.348,0
1664462252.216,2.930,-21.484,77.148,17.090,0
1664462252.220,-31.738,-24.414,78.613,-7.324,0
1664462252.223,-42.969,-31.738,70.312,-20.020,0
1664462252.227,-25.879,-37.598,70.312,-5.859,0
1664462252.231,-4.395,-37.109,74.707,13.672,0
1664462252.235,-22.949,-30.273,83.008,-0.977,0
1664462252.239,-35.156,-28.809,78.613,-16.113,0
1664462252.242,-21.484,-25.391,68.359,-3.906,0
1664462252.246,3.906,-20.508,71.777,11.719,0
1664462252.250,-14.648,-20.508,72.754,6.836,0
1664462252.254,-39.551,-24.902,76.172,-3.906,0
1664462252.258,-26.855,-31.250,75.195,-0.977,0
1664462252.262,-6.836,-27.832,62.988,12.207,0
1664462252.266,-14.160,-29.297,55.176,1.465,0
1664462252.269,-38.574,-34.180,62.500,-18.555,0
1664462252.273,-41.016,-30.273,74.707,-9.277,0
1664462252.277,-19.043,-29.785,71.777,3.418,0
