timestamps,TP9,AF7,AF8,TP10
1667327391.837,74.219,-73.730,-89.355,344.727
1667327391.841,114.258,-83.496,-102.539,597.168
1667327391.845,-119.629,-102.051,-133.301,-353.516
1667327391.849,-191.406,-91.309,-125.000,-760.254
1667327391.853,7.812,-74.219,-110.840,32.715
1667327391.857,145.996,-75.684,-114.746,672.363
1667327391.861,-58.594,-83.008,-128.418,-112.793
1667327391.864,-205.078,-82.031,-130.859,-826.660
1667327391.868,-42.969,-79.102,-114.746,-208.984
1667327391.872,142.090,-73.730,-98.145,649.414
1667327391.876,7.324,-73.242,-108.887,175.781
1667327391.880,-196.777,-78.125,-121.094,-741.211
1667327391.907,-107.422,-79.590,-119.141,-465.820
1667327391.911,116.699,-73.242,-102.051,508.301
1667327391.915,83.984,-68.359,-107.422,458.984
1667327391.919,-150.879,-69.336,-136.719,-558.594
1667327391.923,-158.203,-78.613,-139.160,-671.875
1667327391.927,60.547,-84.961,-117.188,262.207
1667327391.931,118.652,-76.172,-104.980,614.746
1667327391.934,-117.676,-76.660,-123.047,-327.148
1667327391.938,-192.383,-78.613,-137.695,-783.691
1667327391.942,10.254,-82.520,-123.535,19.531
1667327391.946,148.438,-72.266,-93.262,695.801
1667327391.950,-48.340,-71.289,-105.469,-47.852
1667327391.953,-206.543,-84.961,-126.465,-808.105
1667327391.957,-53.711,-74.219,-109.375,-270.020
1667327391.961,147.461,-62.012,-100.098,624.023
1667327391.965,31.250,-76.172,-121.582,250.977
1667327391.969,-184.570,-88.379,-132.812,-705.566
1667327391.973,-111.816,-83.984,-124.512,-510.254
1667327391.977,112.305,-69.824,-102.051,467.285
1667327391.980,98.633,-72.754,-106.934,515.137
1667327391.984,-133.789,-92.285,-137.207,-485.352
1667327391.988,-172.363,-91.797,-131.348,-708.984
1667327391.992,27.832,-66.406,-103.027,164.551
1667327391.996,123.535,-56.152,-100.098,629.395
1667327391.997,-92.285,-70.312,-123.535,-251.953
1667327392.001,-196.777,-72.266,-133.301,-811.035
1667327392.005,-13.672,-60.059,-117.188,-89.355
1667327392.009,148.926,-57.129,-109.863,672.852
1667327392.013,-24.414,-74.219,-140.137,33.691
1667327392.017,-200.195,-84.961,-151.855,-784.180
1667327392.021,-74.707,-74.707,-122.070,-329.102
1667327392.024,139.160,-65.918,-97.656,598.145
1667327392.028,48.340,-71.289,-105.957,331.543
1667327392.032,-185.547,-77.148,-126.465,-670.898
1667327392.036,-140.625,-74.707,-128.418,-582.520
1667327392.040,84.961,-68.359,-115.723,393.066
1667327392.027,100.586,-84.961,-132.324,581.055
1667327392.031,-145.996,-95.703,-145.508,-419.434
1667327392.035,-188.477,-82.031,-126.953,-749.023
1667327392.039,36.133,-70.312,-114.258,123.047
1667327392.043,145.996,-61.523,-105.469,655.762
1667327392.047,-76.660,-74.707,-123.047,-189.941
1667327392.051,-202.637,-86.426,-135.254,-808.594
1667327392.054,-29.297,-82.520,-121.094,-134.766
1667327392.058,140.137,-69.336,-104.004,674.316
1667327392.062,-18.555,-70.801,-113.770,107.910
1667327392.066,-208.008,-89.844,-130.859,-777.832
1667327392.070,-89.844,-106.445,-129.883,-388.184
1667327392.072,130.859,-84.961,-103.516,577.637
1667327392.076,61.523,-71.289,-107.910,394.043
