timestamps,TP9,AF7,AF8,TP10,marker
1664561510.917,-116.699,-31.250,-38.086,-87.402,0
1664561510.921,-40.039,-27.832,-42.480,-59.570,0
1664561510.925,10.254,-26.367,-36.621,-41.016,0
1664561510.929,-67.871,-28.320,-39.551,-71.777,0
1664561510.933,-128.418,-30.762,-47.363,-95.703,0
1664561510.937,-60.547,-30.762,-48.828,-76.660,0
1664561510.941,5.371,-35.156,-52.246,-55.664,0
1664561510.944,-50.293,-37.598,-45.410,-64.941,0
1664561510.948,-119.629,-32.715,-40.039,-79.102,0
1664561510.952,-75.195,-21.973,-34.668,-63.965,0
1664561510.956,26.367,-5.859,-20.508,-22.949,0
1664561510.960,-2.441,-18.066,-27.832,-33.691,0
1664561510.963,-98.145,-38.574,-34.180,-72.754,0
1664561510.967,-90.820,-34.180,-24.414,-66.895,0
1664561510.971,0.000,-28.320,-25.391,-31.738,0
1664561510.975,11.719,-27.832,-25.879,-30.762,0
1664561510.979,-72.266,-34.668,-24.414,-68.359,0
1664561510.983,-94.727,-33.691,-22.461,-79.102,0
1664561510.987,-15.137,-39.062,-28.320,-48.340,0
1664561510.990,26.855,-46.387,-38.086,-32.715,0
1664561510.994,-44.922,-40.527,-43.457,-65.430,0
1664561510.998,-102.051,-31.738,-41.504,-83.496,0
1664561511.002,-44.434,-30.762,-34.180,-62.012,0
1664561511.006,34.668,-36.133,-36.621,-41.016,0
1664561511.008,-11.719,-40.527,-37.598,-59.082,0
1664561511.012,-102.051,-54.199,-41.504,-95.215,0
1664561511.016,-78.613,-53.711,-44.434,-89.355,0
1664561511.020,18.066,-39.551,-49.805,-49.316,0
1664561511.024,2.441,-31.738,-45.898,-51.270,0
1664561511.028,-85.938,-34.180,-37.109,-80.566,0
1664561511.032,-83.984,-32.715,-38.086,-78.125,0
1664561511.035,5.859,-27.832,-45.410,-49.805,0
1664561511.039,30.762,-32.715,-45.410,-45.898,0
1664561511.043,-50.781,-35.156,-43.457,-71.289,0
1664561511.047,-82.520,-33.691,-47.852,-80.566,0
1664561511.051,-7.812,-30.762,-43.945,-54.199,0
1664561511.053,45.410,-27.832,-40.527,-39.062,0
1664561511.057,-18.066,-27.344,-41.016,-60.547,0
1664561511.061,-81.543,-27.344,-43.945,-83.496,0
1664561511.065,-34.668,-26.855,-51.758,-70.801,0
1664561511.069,46.875,-34.180,-43.945,-39.062,0
1664561511.073,1.465,-29.297,-37.598,-50.781,0
1664561511.077,-83.008,-21.973,-39.062,-71.289,0
1664561511.080,-62.500,-26.855,-41.504,-62.988,0
1664561511.084,30.762,-23.926,-43.457,-37.109,0
1664561511.088,26.367,-22.461,-38.086,-33.691,0
1664561511.092,-64.941,-31.250,-34.180,-61.523,0
1664561511.096,-84.473,-41.992,-35.645,-75.684,0
1664561511.128,3.906,-35.645,-36.621,-47.363,0
1664561511.132,36.133,-24.902,-31.738,-34.180,0
1664561511.136,-49.805,-29.785,-35.645,-62.988,0
1664561511.140,-97.656,-27.344,-36.621,-76.172,0
1664561511.144,-40.527,-33.691,-37.109,-54.688,0
1664561511.148,20.508,-45.410,-37.109,-36.621,0
1664561511.152,-35.156,-39.062,-30.273,-60.547,0
1664561511.155,-101.562,-31.250,-29.785,-88.379,0
1664561511.159,-58.594,-27.344,-25.879,-67.383,0
1664561511.163,26.367,-27.832,-20.020,-31.738,0
1664561511.167,-5.371,-40.039,-26.855,-47.363,0
1664561511.171,-89.844,-28.809,-28.809,-71.777,0
1664561511.158,-79.590,-19.531,-24.902,-64.941,0
1664561511.162,6.348,-30.762,-32.227,-42.480,0
1664561511.166,5.859,-45.410,-33.691,-44.922,0
1664561511.170,-82.520,-41.016,-30.273,-69.336,0
