timestamps,TP9,AF7,AF8,TP10,marker
1664567140.347,-75.195,-49.805,-39.551,-111.816,0
1664567140.351,-42.480,-46.875,-37.598,-115.723,0
1664567140.355,-81.543,-51.758,-38.574,-104.980,0
1664567140.359,-129.395,-50.293,-33.203,-98.145,0
1664567140.363,-87.891,-49.316,-36.621,-106.445,0
1664567140.367,-30.762,-51.270,-37.598,-107.422,0
1664567140.371,-50.781,-50.781,-37.598,-98.633,0
1664567140.374,-115.234,-40.527,-37.598,-80.078,0
1664567140.378,-104.492,-33.203,-39.062,-85.938,0
1664567140.382,-31.250,-42.480,-39.062,-100.586,0
1664567140.386,-38.086,-43.945,-32.227,-95.703,0
1664567140.390,-93.262,-40.039,-35.156,-86.426,0
1664567140.408,-109.375,-44.434,-38.574,-83.496,0
1664567140.412,-43.945,-43.945,-30.762,-89.355,0
1664567140.416,-22.949,-38.086,-27.832,-97.168,0
1664567140.420,-63.965,-32.227,-29.297,-86.426,0
1664567140.424,-109.863,-32.227,-32.227,-68.848,0
1664567140.428,-63.477,-37.109,-29.297,-74.707,0
1664567140.432,-19.531,-38.574,-30.762,-95.215,0
1664567140.435,-55.664,-40.527,-38.574,-87.891,0
1664567140.439,-122.070,-48.828,-36.621,-62.988,0
1664567140.443,-90.820,-48.828,-36.621,-62.988,0
1664567140.447,-35.156,-46.875,-45.410,-97.656,0
1664567140.451,-56.152,-48.340,-41.504,-106.934,0
1664567140.451,-112.793,-46.387,-35.156,-84.961,0
1664567140.455,-112.793,-50.293,-38.574,-82.520,0
1664567140.459,-48.340,-48.828,-40.039,-86.914,0
1664567140.463,-41.504,-45.898,-43.457,-93.262,0
1664567140.467,-91.309,-45.898,-42.969,-88.379,0
1664567140.471,-112.793,-48.828,-38.574,-72.266,0
1664567140.475,-55.664,-43.945,-42.969,-80.566,0
1664567140.478,-27.344,-32.227,-38.574,-85.938,0
1664567140.482,-65.918,-38.574,-36.621,-68.848,0
1664567140.486,-113.770,-49.805,-43.945,-57.617,0
1664567140.490,-68.359,-50.293,-48.828,-70.801,0
1664567140.494,-18.555,-44.922,-48.340,-79.102,0
1664567140.497,-57.617,-46.387,-49.805,-73.730,0
1664567140.501,-109.375,-50.781,-52.734,-62.012,0
1664567140.505,-85.938,-47.852,-50.781,-57.617,0
1664567140.509,-29.785,-45.410,-44.922,-78.613,0
1664567140.513,-38.574,-48.340,-44.922,-79.102,0
1664567140.517,-98.145,-44.434,-43.945,-53.223,0
1664567140.521,-104.492,-39.062,-45.410,-54.688,0
1664567140.524,-41.504,-44.922,-47.363,-66.406,0
1664567140.528,-15.137,-45.898,-44.434,-47.363,0
1664567140.532,-73.730,-31.738,-48.340,-55.664,0
1664567140.536,-117.188,-29.297,-46.875,-63.477,0
1664567140.540,-55.664,-35.156,-42.480,-49.316,0
1664567140.557,-32.227,-30.273,-38.086,-77.637,0
1664567140.561,-67.871,-29.297,-40.039,-89.355,0
1664567140.565,-110.352,-29.785,-42.969,-67.383,0
1664567140.569,-71.777,-24.902,-36.133,-62.012,0
1664567140.573,-17.578,-27.344,-35.156,-76.660,0
1664567140.577,-48.828,-32.715,-37.598,-73.242,0
1664567140.581,-109.863,-31.250,-35.645,-54.688,0
1664567140.584,-92.285,-29.785,-32.715,-49.316,0
1664567140.588,-33.691,-36.133,-38.574,-74.707,0
1664567140.592,-40.527,-39.551,-42.480,-88.379,0
1664567140.596,-99.609,-35.156,-35.645,-62.988,0
1664567140.600,-107.422,-30.762,-30.762,-41.992,0
1664567140.601,-39.062,-35.645,-31.738,-55.664,0
1664567140.605,-32.227,-42.969,-30.762,-67.871,0
1664567140.609,-79.590,-42.480,-30.762,-52.734,0
1664567140.613,-114.746,-45.898,-35.645,-45.898,0
1664567140.617,-62.012,-41.992,-36.621,-62.012,0
1664567140.621,-20.996,-36.133,-33.203,-67.871,0
1664567140.625,-57.129,-42.480,-37.598,-62.500,0
1664567140.628,-113.281,-46.387,-40.527,-42.969,0
1664567140.632,-100.098,-43.457,-43.945,-51.758,0
