type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,none,,-1,red,red,1627662145.145821
concordant,right,,1.3124913999345154,green,green,1627662147.168685
concordant,right,,0.7554017999209464,red,red,1627662149.1801782
concordant,left,,0.9942516000010073,green,green,1627662151.1932147
concordant,right,,0.6298131998628378,red,red,1627662153.2093976
concordant,down,,0.7795615000650287,yellow,yellow,1627662155.2336018
concordant,right,,1.0791650998871773,red,red,1627662157.246269
concordant,down,,0.770677899941802,yellow,yellow,1627662159.2587852
concordant,right,,0.8904672001954168,red,red,1627662161.2737198
concordant,down,,1.0093234998639673,yellow,yellow,1627662163.2853868
concordant,right,,0.7436685999855399,red,red,1627662165.2973855
concordant,left,,1.3266952000558376,green,green,1627662167.308606
concordant,right,,0.9258047000039369,red,red,1627662169.321964
concordant,left,,0.8504949000198394,green,green,1627662171.3342788
concordant,right,,1.206027999985963,red,red,1627662173.3455143
concordant,down,,0.5210642998572439,yellow,yellow,1627662175.359143
concordant,left,,0.6387294998858124,green,green,1627662177.3701382
concordant,down,,0.9164439998567104,yellow,yellow,1627662179.3850775
concordant,right,,0.9522335999645293,red,red,1627662181.3989313
concordant,down,,0.6572352999355644,yellow,yellow,1627662183.4130547
concordant,left,,0.8101837001740932,green,green,1627662185.4240816
concordant,right,,0.8910678999964148,red,red,1627662187.4370842
concordant,down,,0.6806556000374258,yellow,yellow,1627662189.4486268
concordant,left,,0.6367154999170452,green,green,1627662191.463898
concordant,right,,0.6769078001379967,red,red,1627662193.474771
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,right,,1.0248444001190364,red,green,1627662280.0636525
discordant,down,,0.5031111999414861,yellow,red,1627662282.0808344
discordant,right,,0.7480978001840413,red,yellow,1627662284.1041927
discordant,left,,0.814702200004831,green,red,1627662286.1152034
discordant,down,,0.792123899795115,yellow,green,1627662288.12727
discordant,left,,1.1291569001041353,green,yellow,1627662290.1396983
discordant,right,,0.7938145999796689,red,green,1627662292.1509151
discordant,left,,0.8218830002006143,green,yellow,1627662294.166918
discordant,right,,0.8638818000908941,red,green,1627662296.1799176
discordant,down,,1.423889699857682,yellow,red,1627662298.190928
discordant,left,,0.6059069000184536,green,yellow,1627662300.2029262
discordant,down,,0.6713068000972271,yellow,red,1627662302.216927
discordant,right,,0.41332419984973967,red,green,1627662304.2289293
discordant,left,,0.8946285001002252,green,yellow,1627662306.2412019
discordant,down,,0.8745638001710176,yellow,green,1627662308.254205
discordant,right,,1.2027013001497835,red,yellow,1627662310.2671998
discordant,down,,0.7341366999316961,yellow,green,1627662312.2782004
discordant,left,,0.746056400006637,green,yellow,1627662314.2912037
discordant,right,,0.8885078998282552,red,green,1627662316.3032026
discordant,down,,0.3345926001202315,yellow,red,1627662318.3142052
discordant,left,,0.5374692999757826,green,yellow,1627662320.327205
discordant,right,,0.5222198001574725,yellow,green,1627662322.3394442
discordant,down,,0.6788250000681728,green,yellow,1627662324.3514416
discordant,down,,0.4287451000418514,yellow,green,1627662326.3634396
discordant,none,,-1.0,red,yellow,1627662328.3764398
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
concordant,down,,0.9322878001257777,yellow,yellow,1627662408.5791981
concordant,left,,0.6835521999746561,green,green,1627662410.5904183
concordant,right,,0.496280400082469,red,red,1627662412.6021283
concordant,down,,0.6303944999817759,yellow,yellow,1627662414.6151435
concordant,left,,0.627805900061503,green,green,1627662416.6281922
concordant,down,,0.4815368999261409,yellow,yellow,1627662418.6427987
concordant,right,,0.55304090003483,red,red,1627662420.655351
concordant,left,,0.696750600123778,green,green,1627662422.6675692
concordant,down,,0.4748873000498861,yellow,yellow,1627662424.679447
concordant,right,,1.084198399912566,red,red,1627662426.6919498
concordant,down,,0.516451200004667,yellow,yellow,1627662428.702681
concordant,left,,0.631739699980244,green,green,1627662430.7160478
concordant,down,,0.7681642998941243,yellow,yellow,1627662432.7297056
concordant,right,,0.47152829985134304,red,red,1627662434.742135
concordant,left,,0.7468510000035167,green,green,1627662436.7543392
concordant,right,,0.7885354000609368,red,red,1627662438.7665715
concordant,down,,0.9033359999302775,yellow,yellow,1627662440.7813375
concordant,left,,0.5283740998711437,green,green,1627662442.7945118
concordant,right,,0.7294896999374032,red,red,1627662444.80625
concordant,left,,0.6201783998403698,green,green,1627662446.8166196
concordant,down,,0.4800210001412779,yellow,yellow,1627662448.8299506
concordant,left,,0.822654000017792,green,green,1627662450.843518
concordant,down,,0.6498914000112563,yellow,yellow,1627662452.8548453
concordant,left,,0.5545922999735922,green,green,1627662454.8669517
concordant,down,,0.722873100079596,yellow,yellow,1627662456.8797193
type,key,timestamp,time_delay,word_color,word_text,timestamp_stim
discordant,down,,0.8979187000077218,yellow,red,1627662537.1782105
discordant,left,,0.6809925001580268,green,yellow,1627662539.18922
discordant,down,,1.3241917002014816,yellow,green,1627662541.2022076
discordant,right,,0.7826834998559207,red,yellow,1627662543.214204
discordant,down,,0.720283699920401,yellow,green,1627662545.2242053
