timestamps,TP9,AF7,AF8,TP10,marker
1664550806.727,-14.648,7.324,-333.496,-29.785,0
1664550806.731,-18.555,4.883,-322.266,-31.738,0
1664550806.735,-21.973,7.812,-364.746,-44.434,0
1664550806.739,-14.648,13.184,-349.121,-46.875,0
1664550806.743,-8.789,-3.418,-387.207,-29.785,0
1664550806.747,-13.184,-22.949,-454.590,-21.484,0
1664550806.751,-23.438,-8.789,-421.387,-31.250,0
1664550806.754,-20.020,8.301,-361.816,-32.715,0
1664550806.758,-8.301,-3.906,-404.785,-16.113,0
1664550806.762,-7.812,-22.949,-491.211,-12.207,0
1664550806.766,-7.324,8.301,-355.957,-26.367,0
1664550806.770,-10.254,10.742,-310.059,-34.180,0
1664550806.772,-16.113,-31.738,-445.801,-23.926,0
1664550806.776,-18.066,-21.484,-492.188,-9.766,0
1664550806.780,-10.742,18.555,-345.703,-13.672,0
1664550806.784,-21.973,9.277,-339.355,-42.480,0
1664550806.788,-25.879,-6.836,-410.156,-42.480,0
1664550806.792,-21.484,-6.348,-446.777,-14.648,0
1664550806.796,-18.066,1.953,-412.109,-12.207,0
1664550806.799,-0.488,9.766,-385.254,-21.973,0
1664550806.803,-9.277,-14.648,-492.676,-6.348,0
1664550806.807,-20.020,1.465,-473.145,0.977,0
1664550806.811,-7.324,40.039,-308.594,-10.254,0
1664550806.815,-4.395,7.324,-357.422,-17.578,0
1664550806.817,-12.695,-0.977,-354.492,-25.879,0
1664550806.821,-7.324,15.137,-326.172,-19.043,0
1664550806.825,4.883,15.137,-321.777,-14.648,0
1664550806.829,-7.812,4.395,-361.328,-18.555,0
1664550806.833,-17.090,-9.277,-436.523,-18.066,0
1664550806.837,-12.695,-0.977,-455.566,-7.324,0
1664550806.841,0.000,23.438,-359.863,-2.441,0
1664550806.844,5.859,3.906,-409.180,-9.766,0
1664550806.848,5.859,-11.230,-521.484,-14.648,0
1664550806.852,3.906,30.273,-392.578,-21.484,0
1664550806.856,-4.395,14.160,-390.137,-21.973,0
1664550806.860,-7.812,6.836,-397.461,-19.043,0
1664550806.862,-21.484,22.461,-364.746,-32.227,0
1664550806.866,-14.160,20.996,-345.703,-28.809,0
1664550806.870,-5.859,9.766,-350.586,-10.742,0
1664550806.874,-14.160,4.395,-343.750,-16.113,0
1664550806.878,-13.184,9.277,-340.820,-23.926,0
1664550806.882,-9.766,-2.441,-405.762,-28.809,0
1664550806.886,-3.418,-4.395,-400.879,-25.879,0
1664550806.889,-5.371,-25.879,-516.602,-12.695,0
1664550806.893,-7.812,-2.441,-483.398,-14.648,0
1664550806.897,2.930,31.738,-277.344,-36.621,0
1664550806.901,-8.301,-5.371,-306.641,-32.715,0
1664550806.905,-20.508,-19.043,-330.566,-15.137,0
1664550806.909,-19.043,-18.555,-356.445,-27.832,0
1664550806.913,-17.578,-9.766,-340.332,-38.574,0
1664550806.917,-16.113,-13.672,-326.660,-32.227,0
1664550806.921,-12.207,-26.855,-339.844,-24.902,0
1664550806.925,-1.953,-12.695,-329.102,-20.020,0
1664550806.929,2.441,-17.578,-364.258,-15.137,0
