timestamps,TP9,AF7,AF8,TP10,marker
1664554122.651,-100.098,-38.574,-67.871,-125.488,0
1664554122.655,-94.727,-41.016,-58.105,-113.770,0
1664554122.659,-56.152,-50.293,-58.594,-50.293,0
1664554122.663,-57.617,-49.316,-65.430,-51.270,0
1664554122.666,-84.961,-39.551,-70.312,-109.375,0
1664554122.670,-91.309,-45.410,-54.199,-116.211,0
1664554122.674,-59.082,-57.617,-58.594,-60.547,0
1664554122.678,-67.383,-49.805,-89.844,-74.707,0
1664554122.682,-78.613,-45.410,-80.566,-105.469,0
1664554122.684,-112.305,-53.711,-67.383,-143.066,0
1664554122.688,-86.914,-53.223,-69.336,-107.910,0
1664554122.692,-49.805,-46.387,-70.801,-62.988,0
1664554122.696,-53.223,-50.293,-60.547,-70.312,0
1664554122.700,-90.820,-55.176,-52.734,-116.699,0
1664554122.704,-84.961,-51.758,-55.664,-101.562,0
1664554122.708,-54.199,-48.340,-59.570,-51.270,0
1664554122.711,-52.734,-48.828,-63.477,-63.477,0
1664554122.715,-81.543,-61.035,-49.805,-103.027,0
1664554122.719,-111.816,-51.270,-62.500,-130.371,0
1664554122.723,-81.543,-36.621,-74.219,-91.797,0
1664554122.727,-61.523,-46.875,-59.570,-60.547,0
1664554122.729,-77.148,-50.293,-52.734,-94.727,0
1664554122.733,-107.910,-42.969,-58.594,-139.648,0
1664554122.737,-71.777,-37.598,-65.918,-91.309,0
1664554122.741,-37.598,-39.062,-53.223,-41.016,0
1664554122.745,-51.270,-43.945,-42.480,-67.383,0
1664554122.749,-90.332,-45.410,-44.922,-117.676,0
1664554122.753,-75.195,-40.039,-51.758,-84.961,0
1664554122.756,-27.832,-46.875,-37.109,-8.301,0
1664554122.760,-36.621,-51.270,-32.715,-22.461,0
1664554122.764,-104.980,-43.457,-65.430,-128.906,0
1664554122.768,-89.844,-42.969,-60.059,-111.816,0
1664554122.772,-48.340,-43.457,-53.711,-38.574,0
1664554122.774,-44.434,-39.062,-64.453,-40.527,0
1664554122.778,-79.102,-39.062,-65.430,-98.633,0
1664554122.782,-89.844,-55.664,-52.734,-111.328,0
1664554122.786,-47.852,-59.082,-55.176,-54.688,0
1664554122.790,-40.039,-40.527,-62.988,-47.852,0
1664554122.794,-64.941,-41.016,-49.316,-84.961,0
1664554122.798,-103.516,-52.734,-57.617,-127.930,0
1664554122.801,-65.918,-64.941,-54.199,-65.430,0
1664554122.805,-43.945,-62.500,-53.711,-33.203,0
1664554122.809,-57.617,-48.828,-65.430,-83.496,0
1664554122.813,-88.379,-50.781,-55.664,-123.535,0
1664554122.817,-77.637,-49.805,-52.734,-93.750,0
1664554122.819,-42.480,-46.875,-63.477,-54.688,0
1664554122.823,-32.715,-43.457,-59.082,-68.848,0
1664554122.827,-57.617,-47.852,-47.852,-110.840,0
1664554122.831,-70.801,-57.129,-56.152,-113.281,0
1664554122.835,-49.805,-53.223,-63.477,-68.848,0
1664554122.839,-38.086,-51.758,-55.176,-50.293,0
1664554122.843,-60.059,-62.500,-46.875,-79.590,0
1664554122.846,-89.844,-67.383,-52.734,-103.516,0
1664554122.850,-85.938,-49.805,-78.125,-94.727,0
1664554122.854,-62.988,-39.551,-65.430,-65.430,0
1664554122.858,-58.594,-46.875,-52.246,-80.078,0
1664554122.862,-98.633,-50.293,-59.570,-128.906,0
1664554122.864,-83.984,-46.387,-71.289,-98.633,0
1664554122.868,-51.758,-48.828,-63.965,-54.199,0
1664554122.872,-68.848,-59.570,-50.781,-67.383,0
1664554122.876,-123.535,-61.523,-60.059,-138.184,0
1664554122.880,-106.445,-56.641,-64.453,-118.652,0
1664554122.884,-52.246,-51.758,-49.316,-47.852,0
1664554122.888,-42.480,-61.523,-36.621,-30.762,0
1664554122.891,-98.145,-65.430,-55.664,-102.051,0
1664554122.895,-117.676,-51.270,-75.195,-137.695,0
1664554122.899,-60.547,-48.828,-59.082,-63.477,0
1664554122.903,-38.574,-52.246,-49.316,-43.945,0
1664554122.907,-77.637,-50.781,-57.617,-103.027,0
1664554122.909,-106.445,-50.293,-62.012,-137.695,0
1664554122.913,-58.105,-63.477,-50.781,-71.289,0
1664554122.917,-52.246,-60.547,-59.570,-49.316,0
1664554122.921,-75.195,-52.246,-76.172,-91.797,0
1664554122.925,-105.469,-55.664,-69.824,-141.602,0
1664554122.929,-69.336,-60.547,-51.270,-80.078,0
1664554122.933,-39.062,-62.012,-52.246,-27.344,0
1664554122.936,-60.059,-53.223,-72.266,-78.613,0
1664554122.940,-81.055,-42.969,-74.707,-131.836,0
1664554122.944,-59.082,-52.734,-43.945,-77.148,0
1664554122.948,-51.758,-55.664,-47.852,-35.645,0
1664554122.952,-67.383,-45.410,-63.965,-69.336,0
1664554122.969,-88.379,-47.852,-46.387,-107.910,0
1664554122.973,-101.562,-65.918,-38.086,-114.258,0
1664554122.977,-75.195,-78.125,-45.410,-70.801,0
1664554122.981,-62.012,-74.707,-49.805,-51.270,0
1664554122.985,-79.102,-67.871,-40.527,-84.961,0
1664554122.989,-104.492,-70.312,-33.203,-115.723,0
1664554122.993,-78.125,-71.777,-51.758,-79.590,0
1664554122.996,-57.617,-62.500,-61.523,-56.641,0
1664554123.000,-58.594,-65.430,-39.062,-71.289,0
1664554123.004,-96.191,-77.148,-30.762,-107.910,0
1664554123.008,-91.797,-71.289,-54.688,-95.215,0
1664554123.012,-46.875,-55.176,-56.641,-54.688,0
1664554123.014,-35.645,-62.500,-40.039,-54.199,0
1664554123.018,-83.496,-73.730,-49.316,-116.211,0
1664554123.022,-90.820,-66.406,-60.547,-115.723,0
1664554123.026,-44.922,-59.082,-60.059,-55.664,0
1664554123.030,-25.391,-55.176,-49.805,-42.480,0
1664554123.034,-58.105,-65.430,-48.828,-97.168,0
1664554123.038,-75.684,-60.059,-60.547,-125.000,0
1664554123.041,-39.551,-46.875,-56.641,-63.477,0
1664554123.045,-20.508,-58.105,-41.992,-21.973,0
1664554123.049,-41.504,-62.500,-43.945,-55.176,0
1664554123.053,-94.238,-46.875,-72.266,-139.160,0
1664554123.057,-49.316,-40.039,-62.500,-85.449,0
1664554123.074,-15.137,-42.969,-50.293,-24.902,0
1664554123.078,-26.855,-45.898,-53.711,-68.848,0
1664554123.082,-66.406,-43.945,-48.340,-127.930,0
1664554123.086,-57.617,-44.922,-47.363,-91.797,0
1664554123.090,-22.461,-48.340,-49.805,-38.086,0
1664554123.094,-24.414,-53.711,-46.387,-48.828,0
1664554123.098,-68.848,-53.223,-52.734,-108.887,0
1664554123.101,-68.359,-43.945,-52.734,-102.539,0
1664554123.105,-21.973,-55.664,-44.922,-27.344,0
1664554123.109,-38.574,-54.199,-64.941,-53.223,0
1664554123.113,-70.801,-41.016,-65.918,-118.164,0
1664554123.117,-79.102,-44.922,-46.387,-113.281,0
1664554123.104,-43.945,-48.828,-47.363,-55.664,0
1664554123.108,-38.574,-42.969,-62.012,-53.711,0
1664554123.112,-60.547,-44.922,-59.082,-95.215,0
1664554123.116,-85.938,-49.805,-48.340,-120.117,0
1664554123.120,-65.430,-47.363,-51.270,-78.125,0
1664554123.124,-48.828,-48.828,-54.688,-47.363,0
1664554123.128,-62.012,-53.711,-45.898,-68.359,0
1664554123.131,-90.332,-59.082,-36.621,-106.445,0
1664554123.135,-95.703,-52.734,-55.664,-97.168,0
1664554123.139,-75.195,-46.875,-63.965,-60.547,0
1664554123.143,-57.617,-53.711,-55.664,-51.270,0
1664554123.147,-74.219,-60.059,-38.086,-81.543,0
1664554123.149,-89.355,-54.199,-42.480,-85.449,0
1664554123.153,-76.660,-45.898,-72.754,-66.406,0
1664554123.157,-57.129,-49.805,-60.547,-52.734,0
1664554123.161,-85.449,-52.734,-62.012,-97.168,0
1664554123.165,-114.746,-48.340,-66.406,-134.766,0
1664554123.169,-75.684,-51.270,-56.152,-70.801,0
1664554123.173,-54.688,-48.828,-52.734,-42.480,0
1664554123.176,-62.500,-54.688,-40.527,-54.199,0
1664554123.180,-116.211,-62.500,-61.523,-125.977,0
1664554123.184,-101.074,-48.828,-76.172,-114.258,0
1664554123.188,-50.293,-47.852,-55.664,-36.621,0
1664554123.192,-48.340,-48.828,-53.223,-39.551,0
1664554123.194,-87.402,-52.734,-55.664,-102.051,0
1664554123.198,-78.613,-56.641,-54.199,-99.609,0
1664554123.202,-35.156,-43.945,-48.828,-32.715,0
1664554123.206,-39.551,-34.180,-54.199,-43.945,0
1664554123.210,-77.148,-30.273,-68.359,-116.211,0
1664554123.214,-82.520,-28.809,-68.359,-117.188,0
1664554123.218,-23.926,-38.086,-48.828,-30.762,0
1664554123.221,-0.977,-41.504,-57.617,-12.695,0
1664554123.225,-54.199,-24.414,-92.285,-88.379,0
1664554123.229,-87.891,-21.973,-74.707,-111.328,0
1664554123.233,-48.828,-29.785,-62.500,-50.781,0
1664554123.237,-32.715,-33.691,-73.730,-39.062,0
1664554123.239,-48.340,-35.156,-75.684,-86.426,0
1664554123.243,-77.148,-39.551,-64.453,-118.164,0
1664554123.247,-49.805,-42.969,-58.105,-70.312,0
1664554123.251,-28.809,-36.621,-70.801,-49.805,0
1664554123.255,-37.109,-34.180,-69.336,-68.848,0
1664554123.259,-58.105,-38.086,-51.270,-90.332,0
1664554123.263,-46.387,-46.875,-39.062,-61.035,0
1664554123.266,-30.273,-39.551,-65.918,-37.598,0
1664554123.270,-35.645,-21.973,-78.613,-63.477,0
1664554123.274,-44.434,-27.344,-48.340,-85.938,0
1664554123.278,-64.453,-41.016,-47.363,-95.703,0
1664554123.282,-46.387,-37.109,-62.012,-56.641,0
1664554123.284,-27.832,-35.156,-61.035,-41.016,0
1664554123.288,-41.504,-42.480,-55.176,-73.242,0
1664554123.292,-77.148,-35.156,-54.199,-114.746,0
1664554123.296,-56.641,-25.391,-65.430,-78.613,0
1664554123.300,-27.344,-33.203,-64.941,-37.598,0
1664554123.304,-29.785,-43.945,-46.387,-45.898,0
1664554123.308,-77.148,-49.316,-46.387,-100.098,0
1664554123.311,-70.312,-48.828,-62.012,-96.191,0
1664554123.315,-42.480,-43.457,-67.871,-55.664,0
1664554123.319,-33.203,-54.199,-51.758,-41.504,0
1664554123.323,-61.523,-57.129,-45.410,-90.332,0
1664554123.327,-83.984,-38.574,-71.777,-125.488,0
1664554123.344,-48.340,-38.574,-67.871,-64.941,0
1664554123.348,-40.039,-49.805,-61.523,-49.805,0
1664554123.352,-71.777,-52.734,-65.918,-104.492,0
1664554123.356,-96.680,-45.410,-65.430,-128.418,0
1664554123.360,-47.363,-44.434,-59.570,-64.941,0
1664554123.364,-25.879,-62.012,-51.270,-40.039,0
1664554123.368,-63.965,-65.918,-60.059,-89.844,0
1664554123.371,-104.980,-56.152,-67.383,-146.484,0
1664554123.375,-71.289,-52.734,-72.266,-97.168,0
1664554123.379,-31.250,-56.152,-61.035,-39.062,0
1664554123.383,-56.641,-50.781,-64.453,-83.496,0
1664554123.387,-104.492,-44.434,-71.777,-141.113,0
1664554123.389,-85.449,-49.805,-61.035,-104.004,0
1664554123.393,-40.527,-49.805,-54.688,-46.387,0
1664554123.397,-39.551,-45.898,-62.988,-66.406,0
1664554123.401,-69.824,-45.410,-65.430,-120.117,0
1664554123.405,-74.219,-55.176,-52.246,-105.957,0
1664554123.409,-25.879,-58.105,-43.457,-45.410,0
1664554123.413,-25.391,-57.129,-56.641,-54.688,0
1664554123.416,-64.453,-61.035,-73.242,-118.164,0
1664554123.420,-66.406,-68.359,-52.734,-118.164,0
1664554123.424,-32.227,-72.266,-51.758,-58.105,0
1664554123.428,-47.363,-49.805,-86.914,-83.496,0
1664554123.432,-49.805,-38.086,-68.848,-107.422,0
1664554123.435,-80.566,-48.340,-52.246,-137.207,0
1664554123.439,-73.242,-47.363,-66.895,-116.699,0
1664554123.443,-45.898,-38.086,-66.406,-75.195,0
1664554123.447,-54.688,-38.574,-48.828,-90.332,0
1664554123.451,-100.586,-45.898,-54.199,-148.926,0
1664554123.455,-95.703,-50.293,-61.035,-135.254,0
