timestamps,TP9,AF7,AF8,TP10
1668620272.439,-842.285,-970.215,176.270,-204.102
1668620272.443,245.117,325.684,202.148,-851.074
1668620272.446,-1000.000,-1000.000,-923.340,145.508
1668620272.450,-790.039,-1000.000,-952.148,-1000.000
1668620272.454,844.727,394.531,-203.613,-534.668
1668620272.458,658.203,823.242,353.027,-936.523
1668620272.462,-913.574,-736.816,-548.340,257.812
1668620272.466,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.470,72.754,-138.672,-553.711,-1000.000
1668620272.473,-838.379,-861.816,361.328,486.328
1668620272.477,-151.855,-40.527,-112.305,638.184
1668620272.481,-1000.000,-1000.000,-1000.000,-918.945
1668620272.485,-223.145,-285.156,-798.828,-1000.000
1668620272.489,-829.590,-849.609,173.828,-182.617
1668620272.506,243.652,247.559,77.637,-905.273
1668620272.510,-1000.000,-1000.000,-1000.000,-173.340
1668620272.514,-456.055,-715.332,-916.992,-1000.000
1668620272.518,-878.418,921.875,51.270,-213.379
1668620272.522,345.703,451.172,275.391,-838.379
1668620272.526,-1000.000,-1000.000,-823.242,246.582
1668620272.530,-960.449,-1000.000,-964.355,-1000.000
1668620272.533,594.238,193.848,-283.691,-637.207
1668620272.537,819.336,958.008,437.500,-979.980
1668620272.541,-752.441,-540.527,-335.449,259.766
1668620272.545,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.549,-56.152,-187.988,-643.066,-1000.000
1668620272.551,-827.637,-850.586,356.445,238.281
1668620272.555,-7.324,85.938,-46.387,798.340
1668620272.559,-1000.000,-1000.000,-1000.000,-764.648
1668620272.563,-234.375,-373.535,-854.004,-1000.000
1668620272.567,-825.684,-872.070,145.508,-187.988
1668620272.571,244.629,247.070,142.090,-883.789
1668620272.575,-1000.000,-1000.000,-971.191,-65.918
1668620272.578,-585.938,-881.836,-941.895,-1000.000
1668620272.582,-945.312,716.797,50.781,-321.777
1668620272.586,449.219,579.590,350.586,-865.723
1668620272.590,-1000.000,-958.008,-782.715,249.512
1668620272.594,-1000.000,-1000.000,-990.723,-1000.000
1668620272.596,312.988,19.531,-415.039,-820.312
1668620272.600,-982.422,-931.641,367.188,819.336
1668620272.604,-482.910,-316.895,-301.270,435.547
1668620272.608,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.612,-161.621,-210.938,-626.465,-1000.000
1668620272.616,-827.637,-841.309,367.188,163.574
1668620272.620,126.465,201.660,-2.930,925.293
1668620272.623,-1000.000,-1000.000,-1000.000,-554.688
1668620272.627,-246.582,-500.977,-785.156,-1000.000
1668620272.631,-818.359,-915.527,181.641,-194.336
1668620272.635,238.770,263.672,154.297,-865.234
1668620272.639,-1000.000,-1000.000,-959.961,41.016
1668620272.642,-695.801,-989.746,-954.102,-1000.000
1668620272.646,959.961,532.715,-144.531,-428.711
1668620272.650,561.523,715.332,329.102,-896.484
1668620272.654,-968.750,-855.957,-637.207,247.559
1668620272.658,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.662,145.508,-91.309,-491.211,-994.141
1668620272.666,-841.309,-864.258,391.113,568.848
1668620272.669,-242.188,-150.879,-143.066,583.984
1668620272.673,-1000.000,-1000.000,-1000.000,-957.031
1668620272.677,-131.348,-152.344,-760.254,-1000.000
1668620272.681,-840.820,-851.074,229.492,-51.270
1668620272.685,241.211,246.582,50.293,-974.609
1668620272.687,-1000.000,-1000.000,-1000.000,-369.629
1668620272.691,-372.559,-623.535,-929.199,-1000.000
1668620272.695,-849.121,-990.723,71.289,-203.125
1668620272.699,243.652,367.676,233.887,-850.586
1668620272.703,-1000.000,-1000.000,-896.973,145.508
1668620272.707,-842.773,-1000.000,-952.148,-1000.000
1668620272.711,752.930,334.473,-204.590,-558.594
1668620272.714,740.234,863.281,480.469,-948.242
1668620272.718,-833.984,-684.570,-403.809,251.953
1668620272.722,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.726,44.434,-149.902,-574.707,-1000.000
1668620272.730,-828.613,-858.398,375.488,334.473
1668620272.731,-102.539,-11.719,-110.840,696.777
1668620272.735,-1000.000,-1000.000,-1000.000,-884.277
1668620272.739,-227.051,-309.082,-818.359,-1000.000
1668620272.743,-828.613,-856.445,158.203,-178.711
1668620272.747,244.141,247.559,97.168,-905.762
1668620272.751,-1000.000,-1000.000,-997.559,-173.340
1668620272.755,-498.047,-769.531,-872.559,-1000.000
1668620272.758,-898.926,862.793,112.305,-213.379
1668620272.762,354.980,492.188,271.973,-838.379
1668620272.766,-1000.000,-1000.000,-828.125,239.258
1668620272.770,-994.141,-1000.000,-982.422,-1000.000
1668620272.774,499.512,148.438,-348.145,-753.906
1668620272.791,931.152,995.605,360.840,900.879
1668620272.795,-608.398,-476.562,-385.742,358.398
1668620272.799,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.803,-102.539,-203.125,-650.391,-1000.000
1668620272.807,-807.129,-827.148,306.641,207.031
1668620272.811,-38.086,53.223,-43.945,826.172
1668620272.815,-1000.000,-1000.000,-984.863,-727.051
1668620272.818,42.480,-121.094,-790.039,-1000.000
1668620272.822,-846.680,-901.367,124.512,-186.035
1668620272.826,238.281,240.723,145.020,-885.254
1668620272.830,-1000.000,-1000.000,-943.359,-64.453
1668620272.834,-622.559,-921.387,-953.125,-1000.000
1668620272.821,-971.191,654.297,-90.820,-359.863
1668620272.825,500.488,618.164,332.520,-880.859
1668620272.829,-1000.000,-940.430,-698.242,248.047
1668620272.833,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.837,300.781,15.137,-451.660,-908.203
1668620272.841,-937.012,-906.250,393.066,706.055
1668620272.845,-403.320,-271.484,-231.934,497.070
1668620272.848,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.852,-207.031,-212.891,-717.285,-1000.000
1668620272.856,-838.867,-838.867,324.707,79.590
1668620272.860,134.277,219.727,42.969,934.570
1668620272.864,-1000.000,-1000.000,-1000.000,-554.688
1668620272.881,-271.484,-526.855,-885.254,-1000.000
1668620272.885,-827.148,-926.270,128.418,-196.289
1668620272.889,239.746,286.133,184.570,-865.723
1668620272.893,-1000.000,-1000.000,-957.031,58.594
1668620272.897,-749.023,-1000.000,-946.777,-1000.000
1668620272.901,892.578,471.191,-111.328,-502.930
1668620272.905,640.625,754.883,388.672,-932.617
1668620272.908,-927.734,-820.312,-590.820,258.301
1668620272.912,-1000.000,-1000.000,-986.328,-1000.000
1668620272.916,149.414,-89.355,-485.840,-1000.000
1668620272.920,-844.727,-866.699,356.934,526.855
1668620272.924,-213.379,-111.816,-169.434,602.539
1668620272.927,-1000.000,-1000.000,-1000.000,-949.707
1668620272.931,-219.727,-260.742,-701.660,-1000.000
1668620272.935,-831.055,-846.191,202.637,-49.805
1668620272.939,242.676,247.559,37.598,-974.609
1668620272.943,-1000.000,-1000.000,-1000.000,-370.117
1668620272.947,-414.062,-663.086,-898.926,-1000.000
1668620272.951,-863.770,972.656,73.242,-207.031
1668620272.954,299.316,399.902,217.773,-849.121
1668620272.958,-1000.000,-1000.000,-864.258,190.430
1668620272.962,-883.301,-1000.000,-936.523,-1000.000
1668620272.966,692.871,291.992,-276.855,-629.395
1668620272.970,811.035,898.438,377.930,-986.328
1668620272.972,-759.277,-636.719,-448.730,263.672
1668620272.976,-1000.000,-1000.000,-1000.000,-1000.000
1668620272.980,21.973,-162.598,-599.121,-1000.000
1668620272.984,-831.543,-857.910,357.422,334.473
1668620272.988,-100.098,15.137,-73.730,696.777
1668620272.992,-1000.000,-1000.000,-1000.000,-884.277
1668620272.996,-226.562,-344.238,-824.707,-1000.000
1668620272.999,-829.590,-868.164,174.316,-178.711
1668620273.003,245.117,251.465,176.758,-910.156
1668620273.007,-1000.000,-1000.000,-951.172,-168.457
1668620273.011,-529.785,-794.434,-949.219,-1000.000
1668620273.015,-915.039,831.543,57.129,-290.039
1668620273.017,444.824,526.367,314.941,-864.258
1668620273.021,-1000.000,-979.980,-812.500,249.512
1668620273.025,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.029,427.246,81.055,-331.055,-780.762
1668620273.033,951.660,-995.605,401.367,871.582
1668620273.037,-585.938,-446.289,-353.516,383.789
1668620273.041,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.044,-95.215,-197.754,-565.430,-1000.000
1668620273.048,-829.102,-847.168,425.293,208.496
1668620273.052,15.625,139.648,-57.617,825.684
1668620273.056,-1000.000,-1000.000,-1000.000,-728.027
1668620273.060,-235.352,-435.547,-871.582,-1000.000
1668620273.062,-825.195,-893.066,105.957,-192.871
1668620273.066,244.141,250.977,134.766,-877.441
1668620273.070,-1000.000,-1000.000,-965.820,-6.836
1668620273.074,-625.000,-924.316,-939.453,-1000.000
